"Month","Sales"
"2003-01",141
"2003-02",157
"2003-03",185
"2003-04",199
"2003-05",203
"2003-06",189
"2003-07",207
"2003-08",207
"2003-09",171
"2003-10",150
"2003-11",138
"2003-12",165
"2004-01",152
"2004-02",165
"2004-03",190
"2004-04",211
"2004-05",209
"2004-06",226
"2004-07",240
"2004-08",241
"2004-09",212
"2004-10",183
"2004-11",172
"2004-12",201
"2005-01",179
"2005-02",189
"2005-03",224
"2005-04",234
"2005-05",244
"2005-06",255
"2005-07",266
"2005-08",272
"2005-09",237
"2005-10",211
"2005-11",180
"2005-12",201
"2006-01",200
"2006-02",204
"2006-03",239
"2006-04",259
"2006-05",267
"2006-06",285
"2006-07",295
"2006-08",294
"2006-09",260
"2006-10",229
"2006-11",203
"2006-12",229
"2007-01",215
"2007-02",231
"2007-03",262
"2007-04",293
"2007-05",297
"2007-06",318
"2007-07",342
"2007-08",340
"2007-09",296
"2007-10",267
"2007-11",238
"2007-12",261
"2008-01",245
"2008-02",268
"2008-03",296
"2008-04",320
"2008-05",335
"2008-06",363
"2008-07",367
"2008-08",378
"2008-09",330
"2008-10",301
"2008-11",262
"2008-12",281
"2009-01",263
"2009-02",290
"2009-03",323
"2009-04",350
"2009-05",366
"2009-06",389
"2009-07",407
"2009-08",416
"2009-09",360
"2009-10",323
"2009-11",290
"2009-12",319
"2010-01",305
"2010-02",320
"2010-03",355
"2010-04",393
"2010-05",408
"2010-06",433
"2010-07",453
"2010-08",448
"2010-09",397
"2010-10",355
"2010-11",315
"2010-12",343
"2011-01",325
"2011-02",355
"2011-03",386
"2011-04",428
"2011-05",445
"2011-06",473
"2011-07",494
"2011-08",505
"2011-09",438
"2011-10",398
"2011-11",350
"2011-12",386
"2012-01",364
"2012-02",396
"2012-03",430
"2012-04",473
"2012-05",494
"2012-06",522
"2012-07",543
"2012-08",546
"2012-09",479
"2012-10",427
"2012-11",380
"2012-12",408
"2013-01",394
"2013-02",431
"2013-03",462
"2013-04",512
"2013-05",534
"2013-06",562
"2013-07",583
"2013-08",591
"2013-09",514
"2013-10",464
"2013-11",411
"2013-12",449
"2014-01",427
"2014-02",467
"2014-03",510
"2014-04",554
"2014-05",575
"2014-06",605
"2014-07",620
"2014-08",626
"2014-09",546
"2014-10",492
"2014-11",439
"2014-12",472
