dato,t,sku_id,kategori,merke,butikk,pris,basispris,rabatt_pct,kampanje,lager,stockout,salg
2022-01-03,1,P001,meieri,E,middels,26.6,26.6,0,0,346,0,81
2022-01-04,2,P001,meieri,E,middels,26.6,26.6,0,0,281,0,65
2022-01-05,3,P001,meieri,E,middels,26.6,26.6,0,0,201,0,80
2022-01-06,4,P001,meieri,E,middels,21.55,26.6,19,1,74,0,127
2022-01-07,5,P001,meieri,E,middels,26.6,26.6,0,0,0,1,74
2022-01-08,6,P001,meieri,E,middels,26.6,26.6,0,0,0,1,0
2022-01-09,7,P001,meieri,E,middels,26.6,26.6,0,0,0,1,0
2022-01-10,8,P001,meieri,E,middels,19.15,26.6,28,1,297,0,130
2022-01-11,9,P001,meieri,E,middels,26.6,26.6,0,0,244,0,53
2022-01-12,10,P001,meieri,E,middels,26.6,26.6,0,0,169,0,75
2022-01-13,11,P001,meieri,E,middels,26.6,26.6,0,0,106,0,63
2022-01-14,12,P001,meieri,E,middels,26.6,26.6,0,0,26,0,80
2022-01-15,13,P001,meieri,E,middels,26.6,26.6,0,0,0,1,26
2022-01-16,14,P001,meieri,E,middels,26.6,26.6,0,0,0,1,0
2022-01-17,15,P001,meieri,E,middels,26.6,26.6,0,0,343,0,84
2022-01-18,16,P001,meieri,E,middels,26.6,26.6,0,0,278,0,65
2022-01-19,17,P001,meieri,E,middels,23.14,26.6,13,1,161,0,117
2022-01-20,18,P001,meieri,E,middels,26.6,26.6,0,0,73,0,88
2022-01-21,19,P001,meieri,E,middels,26.6,26.6,0,0,0,1,73
2022-01-22,20,P001,meieri,E,middels,26.6,26.6,0,0,0,1,0
2022-01-23,21,P001,meieri,E,middels,26.6,26.6,0,0,0,1,0
2022-01-24,22,P001,meieri,E,middels,26.6,26.6,0,0,345,0,82
2022-01-25,23,P001,meieri,E,middels,26.6,26.6,0,0,289,0,56
2022-01-26,24,P001,meieri,E,middels,26.6,26.6,0,0,225,0,64
2022-01-27,25,P001,meieri,E,middels,26.6,26.6,0,0,165,0,60
2022-01-28,26,P001,meieri,E,middels,26.6,26.6,0,0,82,0,83
2022-01-29,27,P001,meieri,E,middels,22.08,26.6,17,1,0,1,82
2022-01-30,28,P001,meieri,E,middels,20.75,26.6,22,1,0,1,0
2022-01-31,29,P001,meieri,E,middels,26.6,26.6,0,0,348,0,79
2022-02-01,30,P001,meieri,E,middels,26.6,26.6,0,0,289,0,59
2022-02-02,31,P001,meieri,E,middels,26.6,26.6,0,0,219,0,70
2022-02-03,32,P001,meieri,E,middels,26.6,26.6,0,0,153,0,66
2022-02-04,33,P001,meieri,E,middels,26.6,26.6,0,0,40,0,113
2022-02-05,34,P001,meieri,E,middels,26.6,26.6,0,0,0,1,40
2022-02-06,35,P001,meieri,E,middels,26.6,26.6,0,0,0,1,0
2022-02-07,36,P001,meieri,E,middels,18.35,26.6,31,1,301,0,126
2022-02-08,37,P001,meieri,E,middels,26.6,26.6,0,0,254,0,47
2022-02-09,38,P001,meieri,E,middels,26.6,26.6,0,0,181,0,73
2022-02-10,39,P001,meieri,E,middels,26.6,26.6,0,0,101,0,80
2022-02-11,40,P001,meieri,E,middels,26.6,26.6,0,0,0,1,101
2022-02-12,41,P001,meieri,E,middels,26.6,26.6,0,0,0,1,0
2022-02-13,42,P001,meieri,E,middels,26.6,26.6,0,0,0,1,0
2022-02-14,43,P001,meieri,E,middels,26.6,26.6,0,0,368,0,59
2022-02-15,44,P001,meieri,E,middels,26.6,26.6,0,0,324,0,44
2022-02-16,45,P001,meieri,E,middels,26.6,26.6,0,0,260,0,64
2022-02-17,46,P001,meieri,E,middels,26.6,26.6,0,0,187,0,73
2022-02-18,47,P001,meieri,E,middels,26.6,26.6,0,0,60,0,127
2022-02-19,48,P001,meieri,E,middels,26.6,26.6,0,0,0,1,60
2022-02-20,49,P001,meieri,E,middels,18.89,26.6,29,1,0,1,0
2022-02-21,50,P001,meieri,E,middels,26.6,26.6,0,0,376,0,51
2022-02-22,51,P001,meieri,E,middels,22.34,26.6,16,1,301,0,75
2022-02-23,52,P001,meieri,E,middels,26.6,26.6,0,0,254,0,47
2022-02-24,53,P001,meieri,E,middels,26.6,26.6,0,0,207,0,47
