sku_id,kategori,merke,butikk,basispris,temp_fol,priselastisitet,baseline,uke_amp
P001,meieri,E,middels,26.6,-0.341,-1.53,57.01,0.318
P002,bakevarer,E,liten,41.25,-0.174,-1.24,57.27,0.17
P003,drikke,D,liten,28.78,0.796,-1.14,119.6,0.298
P004,frukt_gronnsaker,D,middels,22.42,-0.076,-1.61,85.13,0.111
P005,kjott,C,liten,126.71,-0.578,-0.7,86.63,0.229
P006,snacks,B,middels,42.71,0.022,-1.57,92.28,0.15
P007,frossen,D,middels,46.83,-0.267,-1.61,54.08,0.32
P008,husholdning,A,middels,77.28,0.011,-0.91,38.23,0.235
P009,meieri,D,middels,26.37,0.0,-1.08,35.33,0.197
P010,bakevarer,C,liten,31.85,0.002,-1.34,118.09,0.247
P011,drikke,C,middels,30.95,0.731,-1.62,69.63,0.16
P012,frukt_gronnsaker,A,middels,16.0,0.372,-1.54,90.46,0.175
P013,kjott,C,stor,133.79,-0.215,-0.79,115.05,0.326
P014,snacks,E,middels,40.87,0.229,-0.69,79.71,0.145
P015,frossen,B,stor,60.86,-0.567,-1.35,66.99,0.16
P016,husholdning,D,liten,78.03,0.1,-1.14,58.99,0.288
P017,meieri,A,liten,21.98,-0.248,-1.65,117.04,0.264
P018,bakevarer,D,middels,37.08,0.237,-1.39,83.13,0.271
P019,drikke,E,middels,29.61,0.769,-0.71,43.6,0.333
P020,frukt_gronnsaker,B,liten,20.72,0.042,-1.64,67.7,0.304
P021,kjott,E,liten,132.17,-0.289,-1.18,95.33,0.157
P022,snacks,A,liten,44.79,0.127,-1.38,115.33,0.243
P023,frossen,E,middels,52.72,-0.631,-1.27,118.24,0.229
P024,husholdning,E,middels,78.56,-0.146,-1.1,68.4,0.32
P025,meieri,B,middels,26.82,-0.492,-1.28,76.76,0.338
P026,bakevarer,D,liten,41.03,-0.149,-0.94,86.67,0.343
P027,drikke,B,liten,28.26,0.593,-1.74,49.16,0.329
P028,frukt_gronnsaker,E,stor,16.11,0.086,-1.22,83.52,0.265
P029,kjott,B,liten,148.14,-0.09,-1.05,87.17,0.146
P030,snacks,D,liten,45.66,-0.021,-0.82,95.7,0.128
P031,frossen,E,stor,64.39,-0.405,-1.17,112.41,0.112
P032,husholdning,A,liten,55.78,0.003,-1.5,46.88,0.242
P033,meieri,B,liten,23.9,-0.158,-0.99,31.9,0.178
P034,bakevarer,C,stor,37.29,0.038,-1.01,84.97,0.148
P035,drikke,D,middels,24.24,0.931,-0.65,106.86,0.113
P036,frukt_gronnsaker,C,middels,17.59,0.048,-1.05,101.77,0.178
P037,kjott,D,stor,140.26,-0.193,-0.88,109.44,0.149
P038,snacks,C,middels,49.75,-0.146,-1.68,89.51,0.258
P039,frossen,E,stor,64.43,-0.499,-0.93,108.05,0.323
P040,husholdning,A,liten,55.94,0.051,-1.54,80.73,0.336
P041,meieri,E,middels,20.92,-0.517,-1.01,39.1,0.195
P042,bakevarer,E,liten,39.02,0.073,-1.35,63.46,0.235
P043,drikke,B,liten,26.57,0.697,-1.25,37.34,0.288
P044,frukt_gronnsaker,D,middels,17.46,0.37,-0.88,41.8,0.133
P045,kjott,E,liten,105.9,-0.117,-1.48,57.58,0.308
P046,snacks,C,middels,41.62,-0.191,-0.74,63.78,0.278
P047,frossen,C,liten,62.75,-0.47,-0.81,90.68,0.193
P048,husholdning,D,liten,68.74,0.012,-1.57,53.96,0.234
P049,meieri,B,stor,26.59,-0.301,-1.58,101.96,0.261
P050,bakevarer,A,stor,43.7,0.045,-0.79,99.94,0.199
