produkt_id,Q,R,sykluser,type1_realisert,fill_rate_realisert,sum_etterspørsel,sum_manko
P01,225.9,428.9,931,0.9646,0.9944,211934.0,1196.0
P02,302.8,1042.2,1739,0.9431,0.9759,540078.0,13042.1
P03,297.7,959.0,1375,0.9782,0.9948,412542.0,2143.0
P04,415.7,326.5,846,0.9965,0.9999,351936.0,34.7
P05,445.4,580.9,752,0.9761,0.9965,336833.0,1171.4
P06,454.9,1146.9,1419,0.9683,0.9895,653124.0,6887.1
P07,386.3,905.0,1848,0.9177,0.979,730520.0,15352.4
P08,126.7,408.4,1638,0.9786,0.9926,209409.0,1556.1
P09,280.4,954.4,1902,0.9374,0.9753,548001.0,13521.0
P10,143.8,395.6,1968,0.8425,0.9573,296055.0,12646.3
