sku_id,kategori,arsvolum,cv_target,pris,leveringstid_dager,lt_variabilitet,holdbarhet_dager,substitusjonsgrad,kampanjer_ar,salg_total,salg_gj_daglig,salg_std_daglig,salg_max,antall_nulldager,antall_dager,cv_observert,nulldag_andel,klasse
S00001,daglig,2773.9,0.408,44.87,2.38,0.295,24.5,0.714,2.77,5999,8.217808219178082,4.581583054227608,45,3,730,0.557518858074038,0.00410958904109589,1
S00002,premium,75.01,0.908,1682.82,14.59,0.397,747.6,0.168,1.66,249,0.3410958904109589,0.8265710180358898,10,577,730,2.4232804946433717,0.7904109589041096,2
S00003,reservedel,117.48,1.974,2445.23,31.27,0.588,3336.8,0.234,0.39,323,0.44246575342465755,0.9979976947309995,13,524,730,2.2555365856149523,0.7178082191780822,2
S00004,daglig,6586.45,0.163,17.71,4.73,0.249,29.3,0.53,4.22,13633,18.675342465753424,8.8620007033919,114,0,730,0.4745294882620177,0.0,0
S00005,daglig,9144.75,0.189,33.79,2.91,0.234,17.1,0.733,6.2,19259,26.382191780821916,12.008362911987444,158,0,730,0.45516926765412713,0.0,0
S00006,ferskvare,4777.04,0.541,75.36,1.77,0.143,5.1,0.356,2.0,10953,15.004109589041096,9.035290334477523,85,2,730,0.6021877060320087,0.0027397260273972603,0
S00007,premium,187.03,1.231,1328.26,17.05,0.288,908.0,0.142,0.34,375,0.5136986301369864,0.8767402945959635,5,484,730,1.7067211068134753,0.663013698630137,2
S00008,daglig,3052.73,0.291,38.26,5.06,0.227,19.7,0.624,3.82,6724,9.210958904109589,5.093570590100176,51,0,730,0.5529902633511494,0.0,1
S00009,frossen,1892.6,0.286,102.41,24.92,0.247,116.2,0.313,3.17,3967,5.434246575342466,3.2972000083739927,43,12,730,0.6067446448482517,0.01643835616438356,1
S00010,daglig,7185.12,0.317,49.19,4.66,0.181,25.7,0.467,2.14,15024,20.58082191780822,9.51093021539994,123,0,730,0.46212586909224945,0.0,0
S00011,daglig,2546.02,0.289,18.06,4.0,0.13,23.0,0.578,4.29,5352,7.331506849315068,4.261959746559946,41,1,730,0.5813211164029822,0.0013698630136986301,1
S00012,daglig,3893.98,0.339,28.09,2.35,0.124,29.1,0.763,6.2,8583,11.757534246575343,7.465887999672522,100,1,730,0.6349875614308448,0.0013698630136986301,0
S00013,ferskvare,6971.7,0.523,68.77,1.9,0.141,1.6,0.661,3.28,15496,21.22739726027397,11.614536800739844,124,0,730,0.5471484166584981,0.0,0
S00014,kampanje,668.15,0.749,77.92,5.77,0.371,143.8,0.588,13.19,1770,2.4246575342465753,3.13840675077511,34,165,730,1.294371145799904,0.22602739726027396,1
S00015,kampanje,8113.9,0.972,28.44,8.16,0.208,104.1,0.432,9.73,25470,34.89041095890411,43.64835215585365,547,3,730,1.2510128415301596,0.00410958904109589,1
S00016,ikke-mat,1232.71,1.305,118.24,28.13,0.353,871.4,0.336,0.09,3889,5.3273972602739725,6.259451241280487,64,91,730,1.1749548485818346,0.12465753424657534,1
S00017,sesong,888.11,0.841,40.75,12.79,0.248,346.0,0.329,6.31,2758,3.778082191780822,4.799984184225844,43,127,730,1.2704816731272175,0.17397260273972603,1
S00018,reservedel,60.01,1.464,1704.5,36.33,0.209,3141.0,0.269,0.28,205,0.2808219178082192,0.7457529561943322,6,599,730,2.6556080879115243,0.8205479452054795,2
S00019,kampanje,695.05,0.987,48.12,10.59,0.345,145.3,0.343,18.99,2564,3.5123287671232877,5.3858511281520896,81,148,730,1.5334131527110084,0.20273972602739726,1
S00020,frossen,1271.92,0.215,126.55,14.79,0.366,453.7,0.327,5.81,2712,3.7150684931506848,2.644126510241325,26,24,730,0.7117302184646636,0.03287671232876712,1
S00021,ikke-mat,286.87,0.907,424.42,9.12,0.166,1000.2,0.497,3.57,923,1.2643835616438357,1.7653788195976918,14,311,730,1.396236769562638,0.426027397260274,1
S00022,kampanje,7977.01,1.129,109.34,9.19,0.263,145.8,0.565,12.48,26485,36.28082191780822,44.280460310438514,540,4,730,1.220492204138951,0.005479452054794521,0
S00023,reservedel,242.1,1.346,3002.86,24.46,0.249,3155.2,0.046,0.36,375,0.5136986301369864,0.9195059012683154,6,497,730,1.7899714878023205,0.6808219178082192,2
S00024,daglig,10979.6,0.412,19.82,3.24,0.255,29.4,0.6,2.86,24105,33.02054794520548,16.54286081273249,164,0,730,0.5009868655173083,0.0,0
S00025,reservedel,210.24,1.124,2194.3,17.31,0.403,2754.2,0.174,0.4,423,0.5794520547945206,1.1781572768644655,15,477,730,2.0332265061727184,0.6534246575342466,2
S00026,daglig,4089.72,0.365,46.95,2.52,0.125,28.3,0.559,3.81,8410,11.520547945205479,5.6337937548740635,46,0,730,0.48902133662997227,0.0,0
S00027,sesong,2635.11,0.928,67.24,19.8,0.155,229.3,0.354,3.74,8321,11.398630136986302,13.605907225422342,127,24,730,1.1936440661649212,0.03287671232876712,1
S00028,ferskvare,3809.47,0.397,87.47,2.19,0.24,5.8,0.487,4.92,8330,11.41095890410959,7.454177562923911,81,0,730,0.6532472534135,0.0,0
S00029,premium,389.43,1.412,1474.91,7.19,0.309,955.7,0.36,1.81,395,0.541095890410959,0.9524116550179811,7,479,730,1.760153185223104,0.6561643835616439,1
