sku_id,kategori,arsvolum,cv_target,pris,leveringstid_dager,lt_variabilitet,holdbarhet_dager,substitusjonsgrad,kampanjer_ar
S00001,daglig,2773.9,0.408,44.87,2.38,0.295,24.5,0.714,2.77
S00002,premium,75.01,0.908,1682.82,14.59,0.397,747.6,0.168,1.66
S00003,reservedel,117.48,1.974,2445.23,31.27,0.588,3336.8,0.234,0.39
S00004,daglig,6586.45,0.163,17.71,4.73,0.249,29.3,0.53,4.22
S00005,daglig,9144.75,0.189,33.79,2.91,0.234,17.1,0.733,6.2
S00006,ferskvare,4777.04,0.541,75.36,1.77,0.143,5.1,0.356,2.0
S00007,premium,187.03,1.231,1328.26,17.05,0.288,908.0,0.142,0.34
S00008,daglig,3052.73,0.291,38.26,5.06,0.227,19.7,0.624,3.82
S00009,frossen,1892.6,0.286,102.41,24.92,0.247,116.2,0.313,3.17
S00010,daglig,7185.12,0.317,49.19,4.66,0.181,25.7,0.467,2.14
S00011,daglig,2546.02,0.289,18.06,4.0,0.13,23.0,0.578,4.29
S00012,daglig,3893.98,0.339,28.09,2.35,0.124,29.1,0.763,6.2
S00013,ferskvare,6971.7,0.523,68.77,1.9,0.141,1.6,0.661,3.28
S00014,kampanje,668.15,0.749,77.92,5.77,0.371,143.8,0.588,13.19
S00015,kampanje,8113.9,0.972,28.44,8.16,0.208,104.1,0.432,9.73
S00016,ikke-mat,1232.71,1.305,118.24,28.13,0.353,871.4,0.336,0.09
S00017,sesong,888.11,0.841,40.75,12.79,0.248,346.0,0.329,6.31
S00018,reservedel,60.01,1.464,1704.5,36.33,0.209,3141.0,0.269,0.28
S00019,kampanje,695.05,0.987,48.12,10.59,0.345,145.3,0.343,18.99
S00020,frossen,1271.92,0.215,126.55,14.79,0.366,453.7,0.327,5.81
S00021,ikke-mat,286.87,0.907,424.42,9.12,0.166,1000.2,0.497,3.57
S00022,kampanje,7977.01,1.129,109.34,9.19,0.263,145.8,0.565,12.48
S00023,reservedel,242.1,1.346,3002.86,24.46,0.249,3155.2,0.046,0.36
