id,navn,lat,lon,fast_kostnad
DC01,Oslo,59.911,10.757,4500000
DC02,Drammen,59.743,10.205,3200000
DC03,Kristiansand,58.147,7.996,2800000
DC04,Stavanger,58.97,5.733,3300000
DC05,Bergen,60.391,5.324,3600000
DC06,Aalesund,62.473,6.15,2400000
DC07,Trondheim,63.43,10.395,3400000
DC08,Bodoe,67.28,14.405,2200000
DC09,Tromsoe,69.649,18.956,2100000
DC10,Goeteborg,57.709,11.974,3800000
DC11,Stockholm,59.329,18.069,4800000
DC12,Malmoe,55.605,13.003,3500000
DC13,Oerebro,59.275,15.213,2700000
DC14,Sundsvall,62.39,17.307,2500000
DC15,Umeaa,63.825,20.263,2400000
