id,K01,K02,K03,K04,K05,K06,K07,K08,K09,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30,K31,K32,K33,K34,K35,K36,K37,K38,K39,K40,K41,K42,K43,K44,K45,K46,K47,K48,K49,K50,K51,K52,K53,K54,K55,K56,K57,K58,K59,K60,K61,K62,K63,K64,K65,K66,K67,K68,K69,K70,K71,K72,K73,K74,K75,K76,K77,K78,K79,K80
DC01,498.49289159987154,463.6383658393388,31.043841966670346,495.5605837413974,529.0209222441272,552.0799506990301,44.07341102508902,1397.0226113960434,540.6004360949472,411.02196572932024,1337.0503766999302,423.9910920519049,1344.9308879450411,296.03169844136124,485.7423956730018,363.5201905982857,416.3522508535548,818.3753896296647,365.4652623483826,381.73032093194536,90.66645921597355,505.0151658691036,361.26541394535855,661.9959843864524,459.1827766707467,430.49823557231406,411.083217761194,453.17960323042354,458.9744306041611,818.8000221477338,548.594771690775,450.33627275783783,255.5025914465515,322.90439502231646,87.79063103212216,505.80766273986194,564.0983954933034,563.4497544113985,522.5568239468596,418.1299726415217,318.1349903451908,808.6136580848447,473.0943430597272,791.6534043757465,264.1150447932185,828.9503178488809,406.1397949903543,344.2959795967208,299.52950525497954,624.0766294175946,465.9585397998182,574.3360478076737,107.03386606578015,496.47677740477616,251.68195378995327,453.6632364285249,614.7358038890382,31.208952627083683,830.9547830814467,494.20281295988514,863.779710165472,787.1258085798241,293.0078060522775,824.4170485263295,398.96155897479133,51.81400436487737,252.422868080946,471.57666969837726,71.81843573726925,774.1947691961108,536.3128929125273,825.8160360915554,276.1890645991709,592.9656539934641,495.3817900492792,399.2550126726846,515.4060507297457,528.4270166435197,328.64491414846856,81.57588400935579
DC02,533.6328236167028,485.5942141314513,18.514695531763323,532.0702648406153,565.0692832747479,588.7373856280046,60.15443192559201,1427.935788321357,573.5566317758019,377.569285593923,1369.434924882549,441.2004683409993,1377.710005667081,281.7758308735743,521.7131928085312,333.00145472368393,382.47088234662033,859.9216038157628,333.7670733500935,348.3487162504618,130.52189943266933,522.5368947713218,327.47844858277034,652.787434696873,480.17677381157387,398.15352760463344,434.91946407724,489.7680379911409,497.5364593737097,860.3317288630274,566.8317465947207,484.4951140312982,253.19895233156512,318.17708948587773,98.21218067967222,538.7218345028207,557.9748377682236,597.8021320827276,555.2179042658722,455.76707794267577,285.56035204996425,849.9123259229574,498.1706617199469,833.5593763304904,257.67835538739837,870.6296914496842,376.754776048176,332.13667383376566,287.32577202698,612.3198395790663,489.81448743347556,562.674621279179,103.35158525024586,533.1361398612013,244.56976665847574,486.004197500485,600.6098219424074,12.35670957985147,873.1432540573576,528.7451023158436,905.7929955001057,829.182874004494,276.614246095713,865.8164552264964,371.25665887423014,77.42016908342363,250.65991556812887,503.0102794939432,28.8097541044046,816.1997540551431,557.7869809596825,868.1228844414658,281.02244489001214,590.3376715397363,534.7558646469308,367.4279528371322,535.2864997784874,566.0005922724117,300.72191686307644,47.97994178665079
DC03,712.4449365923988,715.4431586628878,279.4403661104861,719.6537456797435,748.0516573189574,774.6691958749224,288.60722173758893,1673.7679722180608,736.5465330851666,350.4662470287904,1619.2013685863324,659.5294516119167,1628.4232720443438,242.18687160284676,706.397736462595,345.26945090129277,349.8471477371542,1120.3756629246916,335.99604718541144,330.70014544213393,370.19870266890655,738.3444890268502,313.13986114153977,557.4855555873108,707.5905474684229,375.9871202582114,671.1361136251069,680.0944393416702,700.2727781604424,1120.8110334928351,783.3147402007462,660.3631655585702,294.39911794749213,317.201302747801,341.65059630736187,703.5583150316164,492.41959371746157,768.2638709808663,717.488537781125,654.5825568508268,298.84059523939266,1110.7504665755582,735.7545210450052,1093.2602868847657,275.52875164568496,1130.8311782020705,385.25997417640457,281.80419968872155,257.1272006043414,505.3140278656671,724.5266067406353,462.0898897920823,324.76046813861143,721.6336630002451,266.4441816345696,651.1061920974792,480.0560812024904,273.7570389990995,1132.0033781737307,704.1274321110077,1165.182181368353,1088.4769179781733,226.7496592345668,1126.5093655848714,394.0937989140723,306.29967014700446,295.8262430179072,661.549710409811,233.53475067992753,1075.6469983233872,784.2335071397181,1126.5595540786271,344.47131357072817,542.0001490665632,741.6442285022291,358.10732418068113,757.7487988681362,759.071613273234,343.649286048393,222.02305730713474
DC04,842.8878186343194,659.9373261424618,332.4895044898437,844.786532179369,876.3615470070628,901.3781004850619,373.2682238204779,1618.9763473890043,876.1174931927685,170.83185221687475,1573.0866412534533,594.6743479464924,1584.3741079163863,425.30740279059086,833.2118993641283,186.63105407129157,168.10911836073294,1148.168944695472,173.9829019027321,159.04755272109168,451.34711082831535,665.2080682702905,147.90461145015664,748.0875800360532,649.5907721283663,195.0377014636613,627.0045841571437,803.0374160026962,814.8833072939278,1148.4319033944112,708.2795562042886,791.8271849248412,461.7956608424852,497.52588492993146,354.75388758439357,841.7161447281907,684.3895354970194,904.1491222700532,857.1874899170075,771.5632119366469,157.31068703599445,1135.8851241223301,689.3885308730167,1125.711390552863,447.7700031155286,1160.084978485744,216.23046268146618,469.35398634412206,439.5222028690508,695.2312887360766,674.8098289745465,653.0783175147074,324.05426239179246,846.2007571131725,436.5049545068575,788.3248642611712,668.5246848879366,332.3113993665339,1167.9379516431152,836.4690029958775,1198.3835188726061,1122.959674652925,410.6243324075448,1152.5650891416155,230.7205359597398,392.746916789988,462.15751415463944,802.3198786921064,295.16536261672695,1109.559782901488,720.5097242127415,1164.294455169428,509.4946300816729,733.6503869654007,853.4113328100399,185.1490552620168,690.7916606941078,880.958679890639,204.65387834540144,306.3330927156148
DC05,863.5889629179428,510.06510557481226,337.658815303237,858.9638297226111,892.9839751459999,915.0117948516969,396.3422201536643,1453.6181448086675,906.8720730656405,60.12477768289633,1413.0879750801728,441.021197080263,1425.5577920189069,544.4732010018431,849.9508233636124,5.20484667240985,68.09348353382082,1050.184750638412,18.046928797825874,41.792892436058935,454.33416228496156,502.1874322098323,44.01672923639877,899.5729450183811,498.3071108491915,69.04158427275347,488.0892829055848,816.6474144731998,818.1801213338035,1050.2870374870388,542.5240899832086,816.2309676865169,555.035065759148,606.8042288441331,313.28225007950897,872.0985446580905,823.2330225640959,929.0825374311605,888.8809283297813,779.9341215392418,56.13966581921853,1035.8245072002,545.2184628939955,1032.4890329172447,548.7334441753545,1063.1277407834848,41.19169169286978,594.5905291081899,556.3717884822878,849.5158562281122,528.7137885333686,803.7749705961497,278.86058453501704,859.6350679627544,535.6879716524913,820.0103530571024,826.7773174368524,342.7442170159274,1076.858379431049,859.7981325951546,1104.1109420539663,1031.6638785133434,532.2318517514003,1052.9247090219717,43.846914063356834,412.8317438183067,553.9959767880963,837.81917016425,322.11312336557336,1018.0915717380119,562.0569849775753,1074.9573365748283,595.3160139555205,867.1604504850065,851.54161615557,38.04125021608946,531.1294837327806,889.6429051742388,43.25052940993565,349.1703927247
DC06,878.6337809872521,284.2628614191068,437.5260255192053,864.9866360646594,899.5889762385649,915.458062033939,495.47454766564493,1180.2826592054103,932.7319289678526,329.7463456728639,1144.9469506641396,218.9330305342801,1158.5406503616002,721.8225793599237,860.5087125893352,286.99010616846056,337.07117872557495,872.3900425053033,300.6831690001182,323.1534036893402,510.4140753597511,249.72145604259225,325.83655262960696,1094.2326041193521,271.2160430246851,319.3890760552813,289.8253874012718,825.8748720074004,812.2372185847693,872.242877802312,281.72811610059716,841.0084995640044,701.3821615529357,765.6948824675128,365.51571479148544,900.2944936347176,1003.4861283155633,944.825614771748,917.5413856414385,785.4166572099222,311.33107013977934,855.4925542985134,326.35833805577073,862.7891502223991,704.8852995122503,886.3357137562921,276.34361852036415,773.5899737529198,729.7228346164845,1050.048642285248,308.1704492058755,1001.1516036727998,346.68635363406895,864.518127280476,691.5957753616273,854.773260065776,1033.8274476453605,446.63706679470636,908.4090505484214,878.9630821595324,929.6811165919062,864.9634243119559,713.7385135119343,872.488305448392,255.81747868180446,503.1282997778308,698.8527036762349,876.3159785083694,452.9271853504421,851.791277485862,313.3289999085733,909.2432165975856,727.3815444437452,1037.9519247648936,834.7495912258087,305.7882939811832,282.68780065308823,884.959854190298,263.58202782038575,486.3550793343624
DC07,735.5446918356737,6.536255762799965,474.60964393588404,714.6457887157142,746.4919224566021,755.1895062244184,510.2851825738459,956.0613377060419,794.9474969987893,573.2264507636561,907.4988022924252,74.66335609249752,918.5577672355276,765.4270971960816,714.9484723922662,517.8823448730889,581.2734548784781,588.3937981902235,530.6944735777532,556.6228051268149,477.9372291614211,66.4834822984171,550.5963591300258,1123.6563103298636,17.17742707870579,571.2606378786099,62.347989326004836,682.7580406264844,656.0943506980265,588.1808623433351,92.03241430293133,711.2861370900822,715.1393251659114,783.3518616532731,394.60402422700923,767.745088843391,1021.5509914908099,796.3910414356313,783.8167053025772,643.483289418046,518.6678661556828,570.9805566376114,41.078894225110595,581.4032951791023,728.3642269250023,602.4857405565144,525.7968535593219,812.2101903285932,767.8880526584036,1089.5588635318763,24.34975887679078,1040.0164511202495,401.50065908104943,713.1408995601226,716.928691210493,733.3012014644858,1082.647740324355,483.7362550135752,626.8742592787753,739.7948982270026,646.099949123301,584.6234859036558,762.9988649090861,587.8109587248765,505.0910070504871,506.8654311898696,711.465030847629,756.205228757297,512.1542501395656,571.8042588641307,66.38186401132027,628.6453866301746,722.1422464175429,1042.4364276710521,665.9596980243425,548.5908610963196,52.48651115316585,722.622489962897,480.1847790243581,539.9966250648141
DC08,1085.9265734546318,566.0762893277223,1017.3707321916575,1057.8253342835799,1078.6962018287218,1073.461110059351,1041.108034019475,396.25003570579685,1142.6339700846559,1114.9639190830078,352.7083492644858,628.9575862107558,366.117474980036,1290.513739657079,1065.5961681573679,1064.0639432320577,1122.7633666501274,527.3378604285601,1077.5057371493838,1102.6223144751193,988.4229351299263,559.503309138813,1099.7083312311702,1622.0376790511768,575.4183927836879,1108.257658794353,607.4833349895309,1043.8092340148837,1002.9310967244924,526.3109563092809,518.315320992357,1086.0529386431992,1226.8484207970712,1292.3695669790852,942.16048561607,1128.100539335615,1516.3402407158762,1126.8105452729203,1139.6153138789316,1014.8400472093155,1072.0362052406147,511.8500874644801,542.8632034186165,555.1454907046436,1244.8211461256792,536.1947145813286,1063.5342035155052,1331.9355488573478,1289.9473121366723,1596.5094676514477,554.7002257173335,1548.608761102574,954.5664682641111,1054.9725533905062,1235.2632485041465,1115.4374215839423,1596.0127212815905,1025.735903135558,576.7267509843723,1095.3607332692666,562.7435567571525,567.086514042973,1291.0888038338978,516.9696624389418,1042.5347227549348,1032.941661126259,1222.7723886368478,1136.2358662426532,1059.0464841612281,564.2216393660068,502.8628764741846,587.3311791095199,1220.936540727319,1525.4727536796922,989.2494893549457,1090.251210535943,532.6758945221522,1044.1286383516733,1030.1053587423366,1083.3596766564533
DC09,1381.2571483923257,950.4355440858474,1391.0826286291865,1352.1842598080214,1366.717366327069,1355.7968032255471,1409.5986885469758,53.011131976577225,1432.828956061535,1501.2466569139508,44.86060363806288,1014.6068050641047,50.34722319768499,1652.7575005299034,1362.5305390050794,1450.6017199389046,1509.0203079090547,737.9977947344054,1464.0555565911675,1489.1375123853645,1350.4205083487113,946.052961626675,1486.2894135254364,1966.194759220114,960.2472032462264,1494.177491427834,989.1128994318784,1346.7019146170521,1303.200297482003,736.9357355894514,904.8649755647737,1391.6936881952338,1583.9826550533292,1647.0882193073815,1318.724011309964,1424.8336437525543,1860.2971992830362,1410.411396690272,1433.5983168512141,1324.0504661060738,1458.487308802373,730.3112292996428,924.7600461834184,774.2068593757612,1603.7560738277982,740.0531088909873,1449.5997515002864,1691.0394530385286,1650.7635252841476,1945.5305150016443,937.650979658921,1899.127653511852,1333.4712263482868,1348.9808555494128,1595.2051840227602,1422.315073023093,1948.4430832796481,1399.0253087935134,773.9783366789082,1392.2428303066479,745.3610972754108,786.4062785292155,1654.7650113828258,726.3975274822559,1428.6167685928165,1399.7098407702347,1579.8062263406782,1440.9599957829228,1434.1659729884607,789.9720546413924,888.8872334088194,785.8060731815576,1572.5491907031449,1863.368444245532,1281.0348743917843,1476.5567080646144,918.9383493744726,1330.3225591007317,1416.6787196504556,1456.6084083365924
DC10,473.6274617487228,763.9460502164073,311.12638914620413,488.45715839158134,510.2722910067737,537.7580100558501,262.56563278778975,1667.4647576088403,483.1644891185125,600.2225981506704,1601.0210229454349,728.5187954005388,1606.8524413902678,46.98908277136833,473.530949759108,574.9439850852372,602.0762703151559,1010.7292216982053,570.196069024098,574.4792361478314,298.0559488469154,809.119002323154,553.7362496415041,356.3998875999303,760.6149157302931,625.1234286776231,709.4497809684341,455.35306622591474,487.179359723016,1011.3979021315337,852.0761354624204,423.61930668992176,59.410932195117375,29.500052311188583,391.37466183461964,453.8107076854404,260.2334465097468,518.5828511826156,464.8176476534121,441.98203656180607,523.3491880219585,1005.5691157594675,768.6799948142339,978.139428065717,41.941152945050376,1018.474947171326,619.8679243696446,49.09243633930693,31.873523874827978,319.411510759222,763.6428589676456,269.7800952393803,401.105843438458,491.17049366313614,53.92691253770831,406.0081038105971,313.00878591210056,301.5760619516296,1009.6936997410181,462.96770471614724,1045.2959524999333,970.5947685125391,62.62762520340157,1019.1235971838576,621.6113258333918,263.7456368274515,63.617700919982134,410.35121479241343,290.8943094819849,959.3248393070319,836.6762803317927,1001.8603578900038,88.07027377802237,294.840176218883,529.6179183179335,599.9107241724313,817.6234462297601,530.2240206274361,555.9003458430998,257.465517552262
