id,K01,K02,K03,K04,K05,K06,K07,K08,K09,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30,K31,K32,K33,K34,K35,K36,K37,K38,K39,K40,K41,K42,K43,K44,K45,K46,K47,K48,K49,K50,K51,K52,K53,K54,K55,K56,K57,K58,K59,K60,K61,K62,K63,K64,K65,K66,K67,K68,K69,K70,K71,K72,K73,K74,K75,K76,K77,K78,K79,K80
DC01,415.410742999893,386.3653048661157,25.869868305558622,412.9671531178312,440.85076853677265,460.06662558252503,36.72784252090752,1164.185509496703,450.50036341245607,342.51830477443355,1114.2086472499418,353.3259100432541,1120.775739954201,246.69308203446772,404.7853297275015,302.9334921652381,346.960209044629,681.9794913580539,304.55438529031886,318.10860077662113,75.55538267997795,420.8459715575864,301.0545116211321,551.6633203220437,382.65231389228893,358.7485296435951,342.5693481343284,377.6496693586863,382.47869217013425,682.3333517897781,457.1623097423125,375.2802272981982,212.9188262054596,269.0869958519304,73.15885919343513,421.50638561655165,470.08199624441954,469.54146200949884,435.46401995571637,348.4416438679348,265.11249195432566,673.844715070704,394.245285883106,659.7111703131221,220.0958706610154,690.7919315407341,338.4498291586286,286.9133163306007,249.60792104581628,520.0638578479956,388.2987831665152,478.6133731730614,89.19488838815012,413.7306478373135,209.73496149162773,378.05269702377075,512.2798365741985,26.007460522569737,692.462319234539,411.835677466571,719.8164251378934,655.9381738165201,244.17317171023123,687.0142071052746,332.4679658123261,43.178336970731145,210.352390067455,392.9805580819811,59.84869644772438,645.1623076634256,446.9274107604395,688.1800300762961,230.1575538326424,494.13804499455347,412.81815837439933,332.7125105605705,429.50504227478814,440.3558472029331,273.8707617903905,67.97990334112983
DC02,444.6940196805857,404.66184510954275,15.428912943136103,443.3918873671795,470.89106939562333,490.61448802333723,50.128693271326675,1189.9464902677976,477.9638598131682,314.64107132826916,1141.1957707354575,367.6670569508328,1148.0916713892343,234.81319239464528,434.76099400710933,277.50121226973664,318.7257352888503,716.6013365131356,278.1392277917446,290.29059687538484,108.76824952722444,435.4474123094349,272.89870715230865,543.9895289140609,400.1473115096449,331.7946063371945,362.4328867310333,408.1400316592841,414.6137161447581,716.9431073858561,472.3597888289339,403.7459283594152,210.99912694297095,265.1475745715648,81.84348389972685,448.9348620856839,464.9790314735197,498.168443402273,462.6815868882269,379.80589828556316,237.9669600416369,708.2602716024645,415.14221809995576,694.632813608742,214.731962822832,725.5247428747368,313.96231337348,276.78056152813804,239.4381433558167,510.2665329825553,408.1787395278963,468.8955177326491,86.12632104187155,444.28011655100113,203.80813888206313,405.0034979170709,500.50818495200616,10.297257983209558,727.6193783811314,440.6209185965364,754.8274962500881,690.9857283370784,230.5118717464275,721.513712688747,309.38054906185846,64.5168075695197,208.88326297344074,419.17523291161933,24.00812842033717,680.1664617126193,464.82248413306877,723.4357370345548,234.1853707416768,491.948059616447,445.62988720577573,306.18996069761016,446.07208314873947,471.6671602270098,250.60159738589707,39.983284822208994
DC03,593.704113826999,596.2026322190732,232.8669717587384,599.7114547331196,623.3763810991312,645.557663229102,240.50601811465745,1394.8066435150506,613.7887775709722,292.05520585732535,1349.3344738219437,549.6078763432639,1357.0193933702865,201.8223930023723,588.6647803854959,287.724542417744,291.53928978096184,933.6463857705763,279.99670598784286,275.5834545351116,308.4989188907555,615.2870741890418,260.9498842846165,464.57129632275905,589.6587895570191,313.3226002151762,559.2800946875891,566.7453661180585,583.5606484670353,934.0091945773627,652.7622835006218,550.3026379654752,245.3325982895768,264.3344189565008,284.7088302561349,586.2985958596804,410.349661431218,640.2198924840552,597.9071148176042,545.4854640423557,249.03382936616055,925.6253888129653,613.1287675375044,911.0502390706382,229.60729303807082,942.3593151683922,321.04997848033713,234.83683307393466,214.2726671702845,421.0950232213892,603.7721722838628,385.0749081600686,270.6337234488429,601.3613858335376,222.036818028808,542.588493414566,400.0467343354087,228.13086583258294,943.3361484781088,586.7728600925064,970.9851511402942,907.0640983151444,188.958049362139,938.7578046540596,328.41149909506026,255.24972512250372,246.52186918158932,551.2914253415092,194.61229223327294,896.3724986028226,653.5279226164317,938.799628398856,287.0594279756068,451.66679088880267,618.036857085191,298.4227701505676,631.4573323901135,632.559677727695,286.3744050403275,185.0192144226123
DC04,702.4065155285995,549.9477717853848,277.0745870748697,703.9887768161409,730.3012891725523,751.1484170708849,311.05685318373156,1349.1469561575036,730.0979109939738,142.35987684739564,1310.9055343778778,495.561956622077,1320.3117565969885,354.4228356588257,694.3432494701069,155.52587839274298,140.09093196727744,956.8074539128933,144.98575158561007,132.5396272675764,376.1225923569295,554.3400568919087,123.25384287513053,623.406316696711,541.3256434403053,162.53141788638442,522.503820130953,669.1978466689135,679.0694227449399,957.0265861620093,590.2329635035738,659.8559874373676,384.82971736873765,414.60490410827623,295.6282396536613,701.4301206068255,570.3246129141829,753.4576018917111,714.322908264173,642.9693432805391,131.09223919666204,946.5709367686085,574.4904423941806,938.0928254607192,373.1416692629405,966.7374820714533,180.19205223455515,391.1283219534351,366.26850239087565,579.3594072800639,562.3415241454554,544.2319312622561,270.04521865982707,705.1672975943104,363.7541287557146,656.9373868843094,557.1039040732805,276.9261661387783,973.2816263692628,697.0575024965647,998.6529323938386,935.7997288774376,342.186943672954,960.4709076180129,192.26711329978318,327.28909732499,385.1312617955329,668.5998989100887,245.97113551393915,924.6331524179067,600.4247701772846,970.2453793078566,424.5788584013941,611.3753224711672,711.1761106750332,154.290879385014,575.6597172450898,734.1322332421992,170.54489862116787,255.27757726301235
DC05,719.6574690982857,425.0542546456769,281.38234608603085,715.8031914355092,744.1533126216666,762.5098290430808,330.2851834613869,1211.348454007223,755.7267275547005,50.10398140241361,1177.5733125668107,367.5176642335525,1187.9648266824224,453.7276675015359,708.2923528030103,4.337372227008209,56.74456961151735,875.1539588653433,15.039107331521562,34.82741036338245,378.61180190413467,418.4895268415269,36.680607696998976,749.6441208486509,415.25592570765957,57.534653560627895,406.74106908798734,680.5395120609999,681.8167677781696,875.2391979058657,452.10340831934053,680.1924730720974,462.52922146595665,505.67019070344435,261.06854173292413,726.7487872150755,686.0275188034133,774.2354478593005,740.7341069414845,649.9451012827016,46.78305484934877,863.1870893335,454.34871907832957,860.4075274310372,457.27787014612875,885.9397839862373,34.326409744058154,495.49210759015824,463.64315706857315,707.9298801900935,440.5948237778072,669.8124754967914,232.38382044584756,716.3625566356287,446.4066430437428,683.3419608809187,688.9810978640437,285.62018084660616,897.3819828592074,716.4984438292955,920.0924517116385,859.7198987611196,443.526543126167,877.4372575183097,36.539095052797364,344.02645318192225,461.66331399008027,698.1826418035416,268.4276028046445,848.40964311501,468.3808208146461,895.7977804790237,496.0966782962671,722.6337087375055,709.618013462975,31.70104184674122,442.6079031106505,741.369087645199,36.042107841613046,290.9753272705833
DC06,732.1948174893768,236.88571784925566,364.6050212660044,720.8221967205495,749.6574801988041,762.8817183616159,412.8954563880375,983.5688826711752,777.2766074732106,274.7886213940533,954.1224588867831,182.4441921119001,965.4505419680003,601.5188161332698,717.090593824446,239.15842180705047,280.8926489379791,726.9917020877527,250.5693075000985,269.2945030744502,425.34506279979263,208.10121336882688,271.5304605246725,911.8605034327934,226.0133691872376,266.1575633794011,241.52115616772653,688.2290600061671,676.8643488206411,726.86906483526,234.77343008383096,700.8404163033371,584.4851346274464,638.0790687229273,304.5964289929045,750.2454113622647,836.2384402629694,787.3546789764566,764.6178213678654,654.5138810082685,259.44255844981615,712.9104619154278,271.9652817131423,718.9909585186659,587.4044162602086,738.6130947969101,230.28634876697015,644.6583114607665,608.1023621804038,875.0405352377066,256.80870767156296,834.2930030606665,288.9052946950575,720.4317727337301,576.3298128013561,712.3110500548133,861.5228730378005,372.1975556622553,757.0075421236845,732.4692351329437,774.7342638265885,720.8028535932966,594.7820945932787,727.07358787366,213.18123223483707,419.27358314819236,582.3772530635291,730.2633154236412,377.4393211253684,709.8260645715517,261.1074999238111,757.702680497988,606.1512870364543,864.9599373040782,695.6246593548406,254.82357831765268,235.5731672109069,737.4665451585817,219.65168985032147,405.29589944530204
DC07,612.9539098630614,5.446879802333305,395.5080366132367,595.5381572630952,622.0766020471684,629.3245885203487,425.23765214487156,796.7177814217016,662.4562474989912,477.68870896971345,756.2490019103544,62.219463410414605,765.4648060296064,637.855914330068,595.7903936602219,431.56862072757406,484.3945457320651,490.3281651585196,442.24539464812773,463.8523376056791,398.2810243011843,55.402901915347584,458.8302992750215,936.3802586082196,14.314522565588158,476.0505315655083,51.9566577716707,568.9650338554037,546.7452922483554,490.1507186194459,76.69367858577611,592.7384475750686,595.9494376382595,652.7932180443943,328.83668685584104,639.7875740361592,851.2924929090083,663.6592011963595,653.1805877521477,536.2360745150384,432.2232217964023,475.81713053134285,34.23241185425883,484.5027459825853,606.9701891041686,502.07145046376206,438.16404463276825,676.8418252738277,639.9067105486697,907.9657196098971,20.291465730658985,866.6803759335413,334.5838825675412,594.2840829667689,597.4405760087442,611.0843345537381,902.2064502702958,403.113545844646,522.3952160656461,616.4957485225021,538.4166242694175,487.18623825304655,635.8323874242385,489.84246560406376,420.9091725420726,422.38785932489134,592.8875257063576,630.1710239644142,426.7952084496381,476.50354905344227,55.31822000943357,523.8711555251455,601.7852053479525,868.6970230592101,554.9664150202855,457.1590509135997,43.73875929430488,602.1854083024142,400.1539825202984,449.99718755401176
DC08,904.9388112121933,471.7302411064353,847.8089434930479,881.5211119029832,898.9135015239349,894.5509250494594,867.5900283495625,330.20836308816405,952.1949750705465,929.1365992358399,293.92362438707147,524.1313218422965,305.0978958166967,1075.4281163808992,887.9968067978066,886.7199526933815,935.6361388751062,439.4482170238001,897.9214476244865,918.8519287292662,823.6857792749386,466.2527576156775,916.4236093593086,1351.6980658759808,479.51532731973987,923.5480489952942,506.2361124912758,869.8410283457364,835.775913937077,438.5924635910674,431.9294341602975,905.0441155359995,1022.3736839975593,1076.9746391492376,785.1337380133917,940.0837827796792,1263.6168672632302,939.0087877274336,949.679428232443,845.7000393410963,893.3635043671788,426.54173955373346,452.3860028488471,462.62124225386975,1037.3509551047327,446.8289288177739,886.2785029295877,1109.9462907144566,1074.956093447227,1330.4245563762065,462.250188097778,1290.5073009188116,795.4720568867593,879.1437944920884,1029.386040420122,929.5311846532853,1330.0106010679922,854.7799192796317,480.6056258203103,912.8006110577222,468.9529639642938,472.5720950358109,1075.9073365282482,430.80805203245154,868.7789356291124,860.7847176052159,1018.9769905307065,946.8632218688776,882.5387368010236,470.18469947167233,419.0523970618205,489.4426492579333,1017.4471172727659,1271.2272947330769,824.3745744624548,908.5426754466193,443.8965787684602,870.1071986263945,858.4211322852806,902.7997305470444
DC09,1151.0476236602715,792.0296200715395,1159.2355238576554,1126.8202165066846,1138.9311386058907,1129.8306693546226,1174.6655737891465,44.17594331381436,1194.0241300512794,1251.0388807616257,37.383836365052396,845.5056708867539,41.95601933140416,1377.297917108253,1135.4421158375662,1208.8347666157538,1257.5169232575456,614.9981622786712,1220.0462971593063,1240.9479269878038,1125.3504236239262,788.3774680222292,1238.574511271197,1638.4956326834285,800.2060027051887,1245.147909523195,824.2607495265654,1122.25159551421,1086.0002479016691,614.1131129912095,754.0541463039781,1159.7447401626948,1319.9855458777743,1372.5735160894847,1098.9366760916366,1187.3613697937953,1550.2476660691968,1175.3428305752268,1194.6652640426785,1103.3753884217283,1215.4060906686443,608.5926910830357,770.6333718195153,645.1723828131343,1336.4633948564986,616.7109240758228,1207.9997929169053,1409.1995441987738,1375.636271070123,1621.275429168037,781.3758163824342,1582.6063779265435,1111.2260219569057,1124.150712957844,1329.3376533523003,1185.2625608525775,1623.7025693997068,1165.8544239945945,644.9819472324235,1160.2023585888733,621.134247729509,655.3385654410129,1378.9708428190215,605.33127290188,1190.5139738273472,1166.424867308529,1316.5051886172319,1200.799996485769,1195.1383108237173,658.3100455344937,740.7393611740162,654.8383943179647,1310.4576589192875,1552.8070368712768,1067.5290619931536,1230.4639233871787,765.7819578120606,1108.602132583943,1180.565599708713,1213.8403402804938
DC10,394.68955145726903,636.6217085136728,259.2719909551701,407.04763199298446,425.2269091723114,448.1316750465418,218.80469398982478,1389.5539646740335,402.6370742654271,500.185498458892,1334.1841857878624,607.0989961671157,1339.0437011585566,39.157568976140276,394.6091247992567,479.119987571031,501.73022526262986,842.274351415171,475.163390853415,478.7326967898595,248.3799573724295,674.2658352692949,461.44687470125336,296.99990633327525,633.8457631085776,520.936190564686,591.2081508070285,379.4608885215956,405.98279976918,842.8315851096114,710.0634462186837,353.01608890826816,49.509110162597814,24.583376925990486,326.1455515288497,378.17558973786697,216.86120542478898,432.152375985513,387.3480397111768,368.3183638015051,436.1243233516321,837.9742631328896,640.5666623451949,815.1161900547642,34.95096078754198,848.7291226427717,516.5566036413705,40.91036361608911,26.561269895689982,266.17625896601834,636.3690491397047,224.8167460328169,334.25486953204836,409.3087447192801,44.939093781423594,338.34008650883095,260.84065492675046,251.31338495969135,841.4114164508485,385.8064205967894,871.079960416611,808.8289737604492,52.18968766950131,849.2696643198814,518.0094381944932,219.78803068954292,53.01475076665178,341.9593456603445,242.41192456832076,799.4373660891932,697.2302336098272,834.8836315750032,73.39189481501865,245.7001468490692,441.3482652649446,499.9256034770261,681.3528718581334,441.8533505228634,463.25028820258314,214.55459796021833
