uke,D_t,Detaljist,Grossist,Distributor,Fabrikk
1,101.21151756934064,233.40021795326106,603.5491482275133,1336.4746017265431,2655.8544647599792
2,103.88688433041793,0.0,186.53829617426163,898.10408622063,0.0
3,102.17535959361426,197.45468789218813,514.6770447874555,1626.1114865170202,3773.1935359556664
4,100.19427252665132,0.0,0.0,0.0,0.0
5,103.40729354145294,197.75543619112193,419.67374696174346,345.83493662815386,0.0
6,101.67299380742564,0.0,0.0,0.0,0.0
7,107.7858254946982,214.83091751015502,249.11766124340772,0.0,0.0
8,114.93091488670923,132.71416787606285,0.0,0.0,0.0
9,106.39352766377544,0.0,0.0,0.0,0.0
10,106.24778792775446,205.25354632656394,311.4362618180326,0.0,0.0
11,112.1586284251865,120.00557141811379,0.0,0.0,0.0
12,111.71152378178084,115.40731560557379,124.16492681585964,0.0,0.0
13,110.52707124498949,110.36787911715686,0.0,0.0,0.0
14,105.27474851743952,0.0,0.0,0.0,0.0
15,109.56315906194415,210.4262698932664,381.416103209563,486.47995771754375,0.0
16,112.82667839914559,118.53959681983304,0.0,0.0,0.0
17,102.13348752010668,0.0,0.0,0.0,0.0
18,105.94175985373546,197.7269687614898,316.6681506374371,293.3365679461747,0.0
19,97.9789937827068,0.0,0.0,0.0,0.0
20,100.18353788348307,184.7543175520079,186.55775739459136,0.0,0.0
21,96.4719722783529,0.0,0.0,0.0,0.0
22,103.47177606506428,193.90753498730157,211.26843617847135,221.3379134908297,0.0
23,97.20881646320683,0.0,0.0,0.0,0.0
24,103.74947843698409,198.67718578483448,215.7701409847332,210.06308243105252,0.0
25,101.98912223567436,0.0,0.0,0.0,0.0
26,99.06534527685022,196.160527288989,200.00569844021868,168.83079014550333,0.0
27,86.21083464334421,0.0,0.0,0.0,0.0
28,94.91337887789125,165.80394738687943,113.04151379695395,0.0,0.0
29,96.2114464025693,0.0,0.0,0.0,0.0
30,95.91931320957886,187.33818269464192,200.2495646204161,214.26023338435039,0.0
31,86.66867370516147,0.0,0.0,0.0,0.0
32,90.9800070374224,166.44753233524375,135.1676881460129,0.0,0.0
33,87.62229712800578,0.0,0.0,0.0,0.0
34,87.72597514393544,165.56156465476192,148.6395613163278,186.6408796733374,0.0
35,96.44993286039829,105.58672280304171,0.0,0.0,0.0
36,86.61216419648636,0.0,0.0,0.0,0.0
37,90.12797330101188,167.64741554934648,244.09165934942257,355.34051235314814,0.0
38,94.49486059593534,99.95913201265608,0.0,0.0,0.0
39,87.08199783628349,0.0,0.0,0.0,0.0
40,89.51440151109867,168.91227108529242,256.2986405430778,320.5941747431592,0.0
41,90.84290254198689,90.57480422535127,0.0,0.0,0.0
42,90.96874644442116,90.8566047557868,0.0,0.0,0.0
43,85.02016061137944,0.0,0.0,0.0,0.0
44,92.15086249294846,177.01142610674873,346.74880037157027,473.77410507651825,0.0
45,99.30900962699667,114.54792006317905,0.0,0.0,0.0
46,85.63305002694963,0.0,0.0,0.0,0.0
47,138.61626597279644,300.1912237442599,667.3107975337476,1353.7311612835042,2703.039029424882
48,135.94953840804524,180.70159419813888,0.0,0.0,0.0
49,133.24659915903854,202.33714063938476,367.7832197159805,250.20881111276913,0.0
50,147.60892608883654,184.6656141825262,0.0,0.0,0.0
51,142.6059317578703,154.56179952668845,273.18165507553,0.0,0.0
52,134.00355548947388,0.0,0.0,0.0,0.0
53,101.57794794641055,198.16953627542944,163.88286753864645,0.0,0.0
54,105.27660456122649,0.0,0.0,0.0,0.0
55,102.6021382436716,164.15968582865418,0.0,0.0,0.0
56,108.0617830564137,0.0,0.0,0.0,0.0
57,105.34806086656448,186.79286267162473,275.4407876819658,0.0,0.0
58,109.96746438657959,0.0,0.0,0.0,0.0
59,114.67772043999177,221.15254313494535,284.2360620850955,472.33695682545084,0.0
60,104.85152740390829,0.0,0.0,0.0,0.0
61,109.87025330848014,203.05721277912716,201.39372670355783,0.0,0.0
62,107.03362454416208,0.0,0.0,0.0,0.0
63,110.34576023038967,213.04309670668363,230.20413345095346,349.81971713713256,0.0
64,103.99111610172983,0.0,0.0,0.0,0.0
65,107.10349201748663,203.08909839244615,193.57926054136885,131.52667170764232,0.0
66,108.94610887695805,109.75150263724947,0.0,0.0,0.0
67,114.20323753476256,123.97089240340654,0.0,0.0,0.0
68,115.07627246412481,122.3568617571699,202.20118950966116,114.34554849906658,0.0
69,102.23692129411083,0.0,0.0,0.0,0.0
70,104.25662682900132,192.50426959051595,247.26792446656953,358.3164821338345,0.0
71,110.71962459457812,113.66236815434797,0.0,0.0,0.0
72,96.66912766153548,0.0,0.0,0.0,0.0
73,103.36479814254974,185.2425843077202,288.26720192498897,340.5163250528626,0.0
74,104.16079709208724,0.0,0.0,0.0,0.0
75,109.83112375685947,218.40645402045834,297.293860162345,415.1150691533354,772.064076424307
76,105.84017614572936,0.0,0.0,0.0,0.0
77,99.56929970144223,197.14620277081394,197.52927133335413,0.0,0.0
78,98.1571205295002,0.0,0.0,0.0,0.0
79,97.54365619485714,184.18716282478016,161.04657802845185,0.0,0.0
80,105.22449035940522,110.32780993046794,0.0,0.0,0.0
81,94.31382641671031,0.0,0.0,0.0,0.0
82,93.83436633773869,173.80600023564637,220.98295542177198,311.01399060963024,0.0
83,96.08229786911477,0.0,0.0,0.0,0.0
84,92.76492119215978,178.7551915882501,189.84484749098897,191.11015273228975,0.0
85,91.52847137846038,0.0,0.0,0.0,0.0
86,86.19982562530816,164.44855012792186,144.12830070926645,0.0,0.0
87,91.08783240327516,0.0,0.0,0.0,0.0
88,88.43193145827377,170.81325511026552,172.3137922421326,245.48178496148506,188.10197851270738
89,96.1212207066906,103.26021367525823,0.0,0.0,0.0
90,93.33835377252528,0.0,0.0,0.0,0.0
91,89.87928193495034,178.5376729367433,269.4306813251193,390.712743605417,692.4809468278557
92,93.41481637535618,94.32273504902975,0.0,0.0,0.0
93,88.59123406717373,0.0,0.0,0.0,0.0
94,95.91046936528058,187.31202625149257,289.89457599082175,372.98374191208825,459.66416540624493
95,91.11844194010978,0.0,0.0,0.0,0.0
96,94.68707311196552,185.5864062548519,215.01040948754292,192.8927672244463,0.0
97,86.06042629167155,0.0,0.0,0.0,0.0
98,95.10217366198418,180.58934552069974,186.01162021649537,122.97164246823195,0.0
99,125.87833194585573,184.1718354576126,261.95296987765744,447.7041251923197,911.7769115837245
100,125.17612355486267,158.64198423400018,153.19882789462713,0.0,0.0
101,134.93156674101746,171.79256005017652,186.49942640133986,251.6975832448261,0.0
102,133.10720531913142,150.98083359827706,0.0,0.0,0.0
103,139.61489717600787,160.91831234288964,273.00240521160686,348.85701831743086,544.172345438486
104,151.22378313243024,183.81619872734467,218.91581766652376,247.50779615418412,237.21951568142492
