sku_id,daglig_freq,plukk_90d
S0001,34.73341760401227,3136
S0002,25.14523026703848,2377
S0003,23.38057789029107,2078
S0004,15.167830820516269,1378
S0005,12.708063295303727,1156
S0006,12.250250095218712,1103
S0007,9.06179456114719,888
S0008,7.567589706084856,670
S0009,6.784991923393057,599
S0010,6.70657428899224,614
S0011,6.089094703759069,579
S0012,5.884672964738788,550
S0013,5.617408980445745,460
S0014,5.194247384035293,466
S0015,5.0090166481856055,414
S0016,4.305293280350745,372
S0017,3.8551743358321233,339
S0018,3.7671274686715175,307
S0019,3.643686552258702,347
S0020,3.4412410855460362,332
S0021,2.9189042421994285,288
S0022,2.8338495077988486,262
S0023,2.7744942471697107,244
S0024,2.5888551296982967,260
S0025,2.5861938969730023,220
S0026,2.5662886350327794,232
S0027,2.497112463453547,212
S0028,2.4179498631818737,205
S0029,2.2947746587372517,208
S0030,2.2819543334703964,195
S0031,2.223797278418397,208
S0032,2.1985104281101484,225
S0033,2.183501548359341,200
S0034,2.157620583772393,170
S0035,2.020998785602808,172
S0036,2.0188876304030337,194
S0037,1.9668995647004597,173
S0038,1.90884316111113,147
S0039,1.8475756228764517,159
S0040,1.7596742156086491,160
S0041,1.7576370944447872,149
S0042,1.756373389719344,162
S0043,1.7415948632817526,153
S0044,1.713976438565163,120
S0045,1.697488031557715,147
S0046,1.6300934647411152,146
S0047,1.6211082538876622,133
S0048,1.5743184882267707,154
S0049,1.5002551189608015,142
S0050,1.4765525137229134,124
S0051,1.4635874159341886,135
S0052,1.4606834127908614,149
S0053,1.1530715210717433,89
S0054,1.1398805176404347,97
S0055,1.1334623489266424,105
S0056,1.1311035303954364,110
S0057,1.0997889469812958,101
S0058,1.0970473136947725,101
S0059,1.081178375601178,104
S0060,1.034930604289562,101
S0061,1.0100622362514158,82
S0062,0.9583226113897688,90
S0063,0.9455943163227631,75
S0064,0.9279057604568892,86
S0065,0.888504121344744,78
S0066,0.8659585006623374,71
S0067,0.8652508001268974,86
S0068,0.8389861322235157,79
S0069,0.8198997524133294,74
S0070,0.8180214381987482,76
