slot_id,aisle,col,side,x,y,d_one_way,d_round_trip
A00-C00-L,0,0,L,1.25,3.5,4.75,9.5
A00-C00-R,0,0,R,1.25,3.5,4.75,9.5
A00-C01-L,0,1,L,1.25,4.5,5.75,11.5
A00-C01-R,0,1,R,1.25,4.5,5.75,11.5
A00-C02-L,0,2,L,1.25,5.5,6.75,13.5
A00-C02-R,0,2,R,1.25,5.5,6.75,13.5
A00-C03-L,0,3,L,1.25,6.5,7.75,15.5
A00-C03-R,0,3,R,1.25,6.5,7.75,15.5
A00-C04-L,0,4,L,1.25,7.5,8.75,17.5
A00-C04-R,0,4,R,1.25,7.5,8.75,17.5
A00-C05-L,0,5,L,1.25,8.5,9.75,19.5
A00-C05-R,0,5,R,1.25,8.5,9.75,19.5
A00-C06-L,0,6,L,1.25,9.5,10.75,21.5
A00-C06-R,0,6,R,1.25,9.5,10.75,21.5
A00-C07-L,0,7,L,1.25,10.5,11.75,23.5
A00-C07-R,0,7,R,1.25,10.5,11.75,23.5
A00-C08-L,0,8,L,1.25,11.5,12.75,25.5
A00-C08-R,0,8,R,1.25,11.5,12.75,25.5
A00-C09-L,0,9,L,1.25,12.5,13.75,27.5
A00-C09-R,0,9,R,1.25,12.5,13.75,27.5
A00-C10-L,0,10,L,1.25,13.5,14.75,29.5
A00-C10-R,0,10,R,1.25,13.5,14.75,29.5
A00-C11-L,0,11,L,1.25,14.5,15.75,31.5
A00-C11-R,0,11,R,1.25,14.5,15.75,31.5
A00-C12-L,0,12,L,1.25,15.5,16.75,33.5
A00-C12-R,0,12,R,1.25,15.5,16.75,33.5
A00-C13-L,0,13,L,1.25,16.5,17.75,35.5
A00-C13-R,0,13,R,1.25,16.5,17.75,35.5
A00-C14-L,0,14,L,1.25,17.5,18.75,37.5
A00-C14-R,0,14,R,1.25,17.5,18.75,37.5
A00-C15-L,0,15,L,1.25,18.5,19.75,39.5
A00-C15-R,0,15,R,1.25,18.5,19.75,39.5
A00-C16-L,0,16,L,1.25,19.5,20.75,41.5
A00-C16-R,0,16,R,1.25,19.5,20.75,41.5
A00-C17-L,0,17,L,1.25,20.5,21.75,43.5
A00-C17-R,0,17,R,1.25,20.5,21.75,43.5
A00-C18-L,0,18,L,1.25,21.5,22.75,45.5
A00-C18-R,0,18,R,1.25,21.5,22.75,45.5
A00-C19-L,0,19,L,1.25,22.5,23.75,47.5
A00-C19-R,0,19,R,1.25,22.5,23.75,47.5
A01-C00-L,1,0,L,3.75,3.5,7.25,14.5
A01-C00-R,1,0,R,3.75,3.5,7.25,14.5
A01-C01-L,1,1,L,3.75,4.5,8.25,16.5
A01-C01-R,1,1,R,3.75,4.5,8.25,16.5
A01-C02-L,1,2,L,3.75,5.5,9.25,18.5
A01-C02-R,1,2,R,3.75,5.5,9.25,18.5
A01-C03-L,1,3,L,3.75,6.5,10.25,20.5
A01-C03-R,1,3,R,3.75,6.5,10.25,20.5
A01-C04-L,1,4,L,3.75,7.5,11.25,22.5
A01-C04-R,1,4,R,3.75,7.5,11.25,22.5
A01-C05-L,1,5,L,3.75,8.5,12.25,24.5
A01-C05-R,1,5,R,3.75,8.5,12.25,24.5
A01-C06-L,1,6,L,3.75,9.5,13.25,26.5
A01-C06-R,1,6,R,3.75,9.5,13.25,26.5
A01-C07-L,1,7,L,3.75,10.5,14.25,28.5
A01-C07-R,1,7,R,3.75,10.5,14.25,28.5
A01-C08-L,1,8,L,3.75,11.5,15.25,30.5
A01-C08-R,1,8,R,3.75,11.5,15.25,30.5
A01-C09-L,1,9,L,3.75,12.5,16.25,32.5
A01-C09-R,1,9,R,3.75,12.5,16.25,32.5
A01-C10-L,1,10,L,3.75,13.5,17.25,34.5
A01-C10-R,1,10,R,3.75,13.5,17.25,34.5
A01-C11-L,1,11,L,3.75,14.5,18.25,36.5
A01-C11-R,1,11,R,3.75,14.5,18.25,36.5
A01-C12-L,1,12,L,3.75,15.5,19.25,38.5
A01-C12-R,1,12,R,3.75,15.5,19.25,38.5
A01-C13-L,1,13,L,3.75,16.5,20.25,40.5
A01-C13-R,1,13,R,3.75,16.5,20.25,40.5
A01-C14-L,1,14,L,3.75,17.5,21.25,42.5
A01-C14-R,1,14,R,3.75,17.5,21.25,42.5
A01-C15-L,1,15,L,3.75,18.5,22.25,44.5
A01-C15-R,1,15,R,3.75,18.5,22.25,44.5
A01-C16-L,1,16,L,3.75,19.5,23.25,46.5
A01-C16-R,1,16,R,3.75,19.5,23.25,46.5
A01-C17-L,1,17,L,3.75,20.5,24.25,48.5
A01-C17-R,1,17,R,3.75,20.5,24.25,48.5
A01-C18-L,1,18,L,3.75,21.5,25.25,50.5
A01-C18-R,1,18,R,3.75,21.5,25.25,50.5
A01-C19-L,1,19,L,3.75,22.5,26.25,52.5
A01-C19-R,1,19,R,3.75,22.5,26.25,52.5
A02-C00-L,2,0,L,6.25,3.5,9.75,19.5
A02-C00-R,2,0,R,6.25,3.5,9.75,19.5
A02-C01-L,2,1,L,6.25,4.5,10.75,21.5
A02-C01-R,2,1,R,6.25,4.5,10.75,21.5
A02-C02-L,2,2,L,6.25,5.5,11.75,23.5
A02-C02-R,2,2,R,6.25,5.5,11.75,23.5
A02-C03-L,2,3,L,6.25,6.5,12.75,25.5
A02-C03-R,2,3,R,6.25,6.5,12.75,25.5
A02-C04-L,2,4,L,6.25,7.5,13.75,27.5
A02-C04-R,2,4,R,6.25,7.5,13.75,27.5
A02-C05-L,2,5,L,6.25,8.5,14.75,29.5
A02-C05-R,2,5,R,6.25,8.5,14.75,29.5
A02-C06-L,2,6,L,6.25,9.5,15.75,31.5
A02-C06-R,2,6,R,6.25,9.5,15.75,31.5
A02-C07-L,2,7,L,6.25,10.5,16.75,33.5
A02-C07-R,2,7,R,6.25,10.5,16.75,33.5
A02-C08-L,2,8,L,6.25,11.5,17.75,35.5
A02-C08-R,2,8,R,6.25,11.5,17.75,35.5
A02-C09-L,2,9,L,6.25,12.5,18.75,37.5
A02-C09-R,2,9,R,6.25,12.5,18.75,37.5
A02-C10-L,2,10,L,6.25,13.5,19.75,39.5
A02-C10-R,2,10,R,6.25,13.5,19.75,39.5
A02-C11-L,2,11,L,6.25,14.5,20.75,41.5
A02-C11-R,2,11,R,6.25,14.5,20.75,41.5
A02-C12-L,2,12,L,6.25,15.5,21.75,43.5
A02-C12-R,2,12,R,6.25,15.5,21.75,43.5
A02-C13-L,2,13,L,6.25,16.5,22.75,45.5
A02-C13-R,2,13,R,6.25,16.5,22.75,45.5
A02-C14-L,2,14,L,6.25,17.5,23.75,47.5
A02-C14-R,2,14,R,6.25,17.5,23.75,47.5
