sku_id,slot_id,sone
S0068,A00-C00-L,1
S0062,A00-C00-R,1
S0042,A00-C01-L,1
S0102,A00-C01-R,1
S0103,A00-C02-R,1
S0114,A00-C02-L,1
S0038,A01-C00-L,1
S0091,A01-C00-R,1
S0125,A00-C03-R,1
S0048,A00-C03-L,1
S0061,A01-C01-L,1
S0082,A01-C01-R,1
S0075,A00-C04-R,1
S0113,A00-C04-L,1
S0127,A01-C02-L,1
S0151,A01-C02-R,1
S0116,A00-C05-R,1
S0097,A00-C05-L,1
S0064,A02-C00-L,1
S0122,A02-C00-R,1
S0006,A01-C03-L,1
S0109,A01-C03-R,1
S0093,A02-C01-L,1
S0017,A02-C01-R,1
S0081,A00-C06-L,1
S0086,A00-C06-R,1
S0029,A01-C04-R,1
S0030,A01-C04-L,1
S0112,A00-C07-L,1
S0117,A00-C07-R,1
S0024,A02-C02-L,1
S0044,A02-C02-R,1
S0034,A01-C05-R,1
S0079,A01-C05-L,1
S0056,A03-C00-L,1
S0047,A03-C00-R,1
S0153,A02-C03-L,1
S0119,A02-C03-R,1
S0013,A00-C08-L,1
S0066,A00-C08-R,1
S0025,A03-C01-L,1
S0123,A03-C01-R,1
S0078,A01-C06-R,1
S0072,A01-C06-L,1
S0016,A00-C09-L,1
S0021,A00-C09-R,1
S0015,A02-C04-L,1
S0046,A02-C04-R,1
S0054,A01-C07-R,1
S0059,A01-C07-L,1
S0095,A03-C02-L,1
S0043,A03-C02-R,1
S0041,A02-C05-L,1
S0031,A02-C05-R,1
S0014,A00-C10-L,1
S0084,A00-C10-R,1
S0049,A04-C00-L,1
S0012,A04-C00-R,1
S0004,A01-C08-R,1
S0108,A01-C08-L,1
S0083,A03-C03-L,1
S0020,A03-C03-R,1
S0050,A00-C11-R,1
S0115,A00-C11-L,1
S0003,A02-C06-L,1
S0077,A02-C06-R,1
S0060,A04-C01-L,1
S0028,A04-C01-R,1
S0036,A01-C09-L,1
S0118,A01-C09-R,1
S0105,A03-C04-R,1
S0027,A03-C04-L,1
S0111,A02-C07-L,1
S0110,A02-C07-R,1
S0073,A04-C02-R,1
S0022,A04-C02-L,1
S0088,A00-C12-L,1
S0100,A00-C12-R,1
S0124,A03-C05-L,1
S0089,A03-C05-R,1
S0035,A05-C00-R,1
S0011,A05-C00-L,1
S0138,A01-C10-L,1
S0069,A01-C10-R,1
S0106,A02-C08-R,1
S0033,A02-C08-L,1
S0019,A04-C03-L,1
S0087,A04-C03-R,1
S0002,A00-C13-L,1
S0126,A00-C13-R,1
S0085,A03-C06-R,1
S0140,A03-C06-L,1
S0154,A01-C11-L,1
S0096,A01-C11-R,1
S0009,A05-C01-L,1
S0005,A05-C01-R,1
S0040,A00-C14-R,1
S0074,A00-C14-L,1
S0080,A02-C09-L,1
S0120,A02-C09-R,1
S0037,A04-C04-L,1
S0071,A04-C04-R,1
S0076,A03-C07-R,1
S0055,A03-C07-L,1
S0104,A01-C12-L,1
S0026,A01-C12-R,1
S0058,A05-C02-R,1
S0063,A05-C02-L,1
S0067,A06-C00-L,1
S0128,A06-C00-R,1
S0053,A02-C10-L,1
S0018,A02-C10-R,1
S0007,A04-C05-L,1
S0057,A04-C05-R,1
S0090,A00-C15-R,1
S0001,A00-C15-L,1
S0045,A05-C03-R,1
S0008,A05-C03-L,1
S0051,A01-C13-L,1
S0070,A01-C13-R,1
S0107,A03-C08-L,1
S0039,A03-C08-R,1
S0010,A00-C16-R,1
S0099,A00-C16-L,1
S0052,A02-C11-L,1
S0132,A02-C11-R,1
S0101,A04-C06-L,1
S0098,A04-C06-R,1
S0023,A06-C01-L,1
S0094,A06-C01-R,1
S0092,A05-C04-L,1
S0065,A05-C04-R,1
S0032,A03-C09-L,1
S0260,A03-C09-R,2
S0222,A01-C14-R,2
S0231,A01-C14-L,2
S0237,A02-C12-L,2
S0169,A02-C12-R,2
S0255,A00-C17-R,2
S0265,A00-C17-L,2
S0134,A06-C02-L,2
S0152,A06-C02-R,2
S0157,A04-C07-L,2
S0173,A04-C07-R,2
S0199,A05-C05-L,2
S0166,A05-C05-R,2
S0244,A07-C00-L,2
S0136,A07-C00-R,2
S0179,A01-C15-R,2
S0278,A01-C15-L,2
S0226,A03-C10-R,2
S0264,A03-C10-L,2
S0225,A00-C18-R,2
S0219,A00-C18-L,2
S0164,A06-C03-R,2
S0238,A06-C03-L,2
S0182,A02-C13-L,2
S0291,A02-C13-R,2
S0129,A04-C08-L,2
S0338,A04-C08-R,2
S0294,A01-C16-R,2
S0210,A01-C16-L,2
S0130,A05-C06-R,2
S0149,A05-C06-L,2
S0190,A03-C11-L,2
S0209,A03-C11-R,2
S0249,A07-C01-L,2
S0257,A07-C01-R,2
S0188,A02-C14-L,2
S0155,A02-C14-R,2
S0121,A00-C19-L,2
S0223,A00-C19-R,2
S0167,A06-C04-L,2
S0168,A06-C04-R,2
S0145,A04-C09-L,2
S0207,A04-C09-R,2
S0232,A07-C02-R,2
S0150,A07-C02-L,2
S0242,A05-C07-R,2
S0183,A05-C07-L,2
S0156,A03-C12-L,2
S0177,A03-C12-R,2
S0170,A01-C17-R,2
S0267,A01-C17-L,2
S0243,A04-C10-L,2
S0194,A04-C10-R,2
S0198,A08-C00-L,2
S0258,A08-C00-R,2
S0189,A06-C05-L,2
S0137,A06-C05-R,2
S0212,A02-C15-R,2
S0233,A02-C15-L,2
S0205,A05-C08-L,2
S0141,A05-C08-R,2
S0230,A07-C03-R,2
S0215,A07-C03-L,2
S0206,A01-C18-R,2
S0221,A01-C18-L,2
S0254,A03-C13-L,2
S0158,A03-C13-R,2
S0133,A06-C06-R,2
S0171,A06-C06-L,2
S0159,A04-C11-L,2
S0181,A04-C11-R,2
S0228,A02-C16-R,2
S0220,A02-C16-L,2
S0147,A08-C01-R,2
S0316,A08-C01-L,2
S0292,A07-C04-R,2
S0174,A07-C04-L,2
S0229,A01-C19-R,2
S0172,A01-C19-L,2
S0148,A03-C14-R,2
S0286,A03-C14-L,2
S0131,A05-C09-L,2
S0191,A05-C09-R,2
S0146,A02-C17-R,2
S0184,A02-C17-L,2
S0185,A06-C07-L,2
S0197,A06-C07-R,2
S0139,A04-C12-R,2
S0217,A04-C12-L,2
S0165,A08-C02-R,2
S0161,A08-C02-L,2
S0213,A09-C00-R,2
S0192,A09-C00-L,2
S0236,A03-C15-L,2
S0195,A03-C15-R,2
S0234,A05-C10-R,2
S0204,A05-C10-L,2
S0287,A07-C05-L,2
S0202,A07-C05-R,2
S0143,A06-C08-L,2
S0175,A06-C08-R,2
S0274,A04-C13-R,2
S0200,A04-C13-L,2
S0340,A08-C03-R,2
S0186,A08-C03-L,2
S0224,A02-C18-L,2
S0196,A02-C18-R,2
S0248,A03-C16-R,2
S0203,A03-C16-L,2
S0262,A07-C06-R,2
S0216,A07-C06-L,2
S0160,A05-C11-R,2
S0135,A05-C11-L,2
S0187,A09-C01-L,2
S0227,A09-C01-R,2
S0272,A02-C19-L,2
S0144,A02-C19-R,2
S0193,A08-C04-R,2
S0142,A08-C04-L,2
S0162,A06-C09-R,2
S0201,A06-C09-L,2
S0176,A04-C14-R,2
S0211,A04-C14-L,2
S0317,A03-C17-L,2
S0178,A03-C17-R,2
S0163,A09-C02-R,2
S0241,A09-C02-L,2
S0239,A07-C07-L,2
S0180,A07-C07-R,2
S0218,A05-C12-L,2
S0214,A05-C12-R,2
S0246,A08-C05-R,2
S0208,A08-C05-L,2
S0293,A04-C15-R,3
S0235,A04-C15-L,3
S0368,A06-C10-L,3
S0277,A06-C10-R,3
S0379,A03-C18-R,3
S0312,A03-C18-L,3
S0295,A09-C03-R,3
S0359,A09-C03-L,3
S0268,A05-C13-L,3
S0353,A05-C13-R,3
S0345,A07-C08-L,3
S0344,A07-C08-R,3
S0366,A06-C11-R,3
S0336,A06-C11-L,3
S0365,A04-C16-L,3
S0372,A04-C16-R,3
S0251,A08-C06-R,3
S0284,A08-C06-L,3
S0324,A03-C19-R,3
S0285,A03-C19-L,3
S0279,A07-C09-L,3
S0329,A07-C09-R,3
S0348,A09-C04-R,3
S0385,A09-C04-L,3
S0301,A05-C14-R,3
S0343,A05-C14-L,3
S0275,A04-C17-L,3
S0400,A04-C17-R,3
S0349,A08-C07-R,3
S0370,A08-C07-L,3
S0330,A06-C12-L,3
S0358,A06-C12-R,3
S0342,A05-C15-L,3
S0332,A05-C15-R,3
S0310,A07-C10-R,3
S0386,A07-C10-L,3
S0394,A09-C05-R,3
S0308,A09-C05-L,3
S0245,A04-C18-L,3
S0325,A04-C18-R,3
S0383,A06-C13-L,3
S0373,A06-C13-R,3
S0313,A08-C08-L,3
S0300,A08-C08-R,3
S0269,A05-C16-L,3
S0298,A05-C16-R,3
S0357,A09-C06-L,3
S0303,A09-C06-R,3
S0337,A07-C11-L,3
S0250,A07-C11-R,3
S0271,A06-C14-L,3
S0318,A06-C14-R,3
S0299,A08-C09-L,3
S0311,A08-C09-R,3
S0288,A04-C19-L,3
S0306,A04-C19-R,3
S0364,A07-C12-R,3
S0334,A07-C12-L,3
S0282,A05-C17-L,3
S0362,A05-C17-R,3
S0283,A09-C07-L,3
S0354,A09-C07-R,3
S0335,A08-C10-L,3
S0351,A08-C10-R,3
S0253,A06-C15-R,3
S0393,A06-C15-L,3
S0309,A05-C18-L,3
S0321,A05-C18-R,3
S0296,A07-C13-R,3
S0281,A07-C13-L,3
S0367,A09-C08-R,3
S0297,A09-C08-L,3
S0266,A06-C16-R,3
S0377,A06-C16-L,3
S0327,A08-C11-R,3
S0326,A08-C11-L,3
S0388,A07-C14-R,3
S0387,A07-C14-L,3
S0399,A05-C19-L,3
S0381,A05-C19-R,3
S0273,A09-C09-L,3
S0389,A09-C09-R,3
S0341,A08-C12-L,3
S0369,A08-C12-R,3
S0396,A06-C17-R,3
S0320,A06-C17-L,3
S0339,A09-C10-L,3
S0397,A09-C10-R,3
S0314,A07-C15-R,3
S0380,A07-C15-L,3
S0347,A08-C13-L,3
S0350,A08-C13-R,3
S0289,A06-C18-R,3
S0398,A06-C18-L,3
S0375,A07-C16-R,3
S0304,A07-C16-L,3
S0263,A09-C11-R,3
S0290,A09-C11-L,3
S0259,A06-C19-L,3
S0374,A06-C19-R,3
S0360,A08-C14-L,3
S0261,A08-C14-R,3
S0376,A07-C17-L,3
S0363,A07-C17-R,3
S0276,A09-C12-R,3
S0352,A09-C12-L,3
S0307,A08-C15-R,3
S0355,A08-C15-L,3
S0391,A09-C13-R,3
S0346,A09-C13-L,3
S0356,A07-C18-R,3
S0361,A07-C18-L,3
S0331,A08-C16-L,3
S0378,A08-C16-R,3
S0240,A07-C19-L,3
S0270,A07-C19-R,3
S0382,A09-C14-R,3
S0333,A09-C14-L,3
S0256,A08-C17-L,3
S0322,A08-C17-R,3
S0390,A09-C15-R,3
S0395,A09-C15-L,3
S0319,A08-C18-R,3
S0392,A08-C18-L,3
S0328,A09-C16-R,3
S0247,A09-C16-L,3
S0280,A08-C19-R,3
S0252,A08-C19-L,3
S0315,A09-C17-R,3
S0371,A09-C17-L,3
S0305,A09-C18-R,3
S0384,A09-C18-L,3
S0323,A09-C19-R,3
S0302,A09-C19-L,3
