sku_id,klasse,slot_id
S0015,A,A00-C00-L
S0004,A,A00-C00-R
S0012,A,A00-C01-L
S0008,A,A00-C01-R
S0033,A,A00-C02-R
S0032,A,A00-C02-L
S0027,A,A01-C00-L
S0007,A,A01-C00-R
S0024,A,A00-C03-R
S0009,A,A00-C03-L
S0022,A,A01-C01-L
S0006,A,A01-C01-R
S0002,A,A00-C04-R
S0026,A,A00-C04-L
S0025,A,A01-C02-L
S0029,A,A01-C02-R
S0020,A,A00-C05-R
S0035,A,A00-C05-L
S0023,A,A02-C00-L
S0036,A,A02-C00-R
S0016,A,A01-C03-L
S0030,A,A01-C03-R
S0014,A,A02-C01-L
S0001,A,A02-C01-R
S0003,A,A00-C06-L
S0021,A,A00-C06-R
S0005,A,A01-C04-R
S0042,A,A01-C04-L
S0011,A,A00-C07-L
S0028,A,A00-C07-R
S0010,A,A02-C02-L
S0031,A,A02-C02-R
S0018,A,A01-C05-R
S0034,A,A01-C05-L
S0019,A,A03-C00-L
S0037,A,A03-C00-R
S0017,A,A02-C03-L
S0013,A,A02-C03-R
S0081,B,A00-C08-L
S0107,B,A00-C08-R
S0065,B,A03-C01-L
S0092,B,A03-C01-R
S0085,B,A01-C06-R
S0116,B,A01-C06-L
S0052,B,A00-C09-L
S0046,B,A00-C09-R
S0061,B,A02-C04-L
S0066,B,A02-C04-R
S0080,B,A01-C07-R
S0063,B,A01-C07-L
S0093,B,A03-C02-L
S0059,B,A03-C02-R
S0088,B,A02-C05-L
S0106,B,A02-C05-R
S0058,B,A00-C10-L
S0101,B,A00-C10-R
S0117,B,A04-C00-L
S0086,B,A04-C00-R
S0068,B,A01-C08-R
S0056,B,A01-C08-L
S0104,B,A03-C03-L
S0071,B,A03-C03-R
S0045,B,A00-C11-R
S0087,B,A00-C11-L
S0102,B,A02-C06-L
S0051,B,A02-C06-R
S0038,B,A04-C01-L
S0100,B,A04-C01-R
S0070,B,A01-C09-L
S0076,B,A01-C09-R
S0124,B,A03-C04-R
S0043,B,A03-C04-L
S0047,B,A02-C07-L
S0041,B,A02-C07-R
S0090,B,A04-C02-R
S0105,B,A04-C02-L
S0095,B,A00-C12-L
S0053,B,A00-C12-R
S0048,B,A03-C05-L
S0049,B,A03-C05-R
S0125,B,A05-C00-R
