sku_id,klasse,slot_id
S0001,A,A00-C00-L
S0002,A,A00-C00-R
S0003,A,A00-C01-L
S0004,A,A00-C01-R
S0005,B,A00-C02-R
S0006,B,A00-C02-L
S0007,B,A01-C00-L
S0008,C,A01-C00-R
S0010,C,A00-C03-R
S0009,C,A00-C03-L
S0011,C,A01-C01-L
S0012,C,A01-C01-R
S0014,C,A00-C04-R
S0013,C,A00-C04-L
S0015,C,A01-C02-L
S0016,C,A01-C02-R
S0019,C,A00-C05-R
S0017,C,A00-C05-L
S0020,C,A02-C00-L
S0018,C,A02-C00-R
S0021,C,A01-C03-L
S0022,C,A01-C03-R
S0024,C,A02-C01-L
S0023,C,A02-C01-R
S0026,C,A00-C06-L
S0032,C,A00-C06-R
S0025,C,A01-C04-R
S0027,C,A01-C04-L
S0029,C,A00-C07-L
S0031,C,A00-C07-R
S0028,C,A02-C02-L
S0033,C,A02-C02-R
S0030,C,A01-C05-R
S0036,C,A01-C05-L
S0037,C,A03-C00-L
S0035,C,A03-C00-R
S0034,C,A02-C03-L
S0042,C,A02-C03-R
S0040,C,A00-C08-L
S0039,C,A00-C08-R
S0048,C,A03-C01-L
S0043,C,A03-C01-R
S0052,C,A01-C06-R
S0041,C,A01-C06-L
S0045,C,A00-C09-L
S0038,C,A00-C09-R
S0046,C,A02-C04-L
S0049,C,A02-C04-R
S0051,C,A01-C07-R
S0047,C,A01-C07-L
S0050,C,A03-C02-L
S0044,C,A03-C02-R
S0056,C,A02-C05-L
S0055,C,A02-C05-R
S0059,C,A00-C10-L
S0057,C,A00-C10-R
S0058,C,A04-C00-L
S0060,C,A04-C00-R
S0054,C,A01-C08-R
S0062,C,A01-C08-L
S0053,C,A03-C03-L
S0076,C,A03-C03-R
S0064,C,A00-C11-R
S0067,C,A00-C11-L
S0071,C,A02-C06-L
S0061,C,A02-C06-R
S0068,C,A04-C01-L
S0065,C,A04-C01-R
S0070,C,A01-C09-L
S0063,C,A01-C09-R
S0078,C,A03-C04-R
S0069,C,A03-C04-L
S0098,C,A02-C07-L
S0080,C,A02-C07-R
S0072,C,A04-C02-R
S0090,C,A04-C02-L
S0066,C,A00-C12-L
S0081,C,A00-C12-R
S0074,C,A03-C05-L
S0075,C,A03-C05-R
