a_share,b_share,e_distance_m,n_A,n_B,n_C
0.3,0.4,21.861,4,3,393
0.3,0.45,21.861,4,6,390
0.3,0.5,21.861,4,9,387
0.3,0.55,21.861,4,13,383
0.3,0.6,21.861,4,18,378
0.3,0.65,21.861,4,25,371
0.3,0.7,21.861,4,34,362
0.3,0.75,21.861,4,45,351
0.3,0.8,21.861,4,60,336
0.3,0.85,21.861,4,83,313
0.3,0.9,21.861,4,117,279
0.3,0.95,21.861,4,172,224
0.35,0.4,21.861,5,2,393
0.35,0.45,21.861,5,5,390
0.35,0.5,21.861,5,8,387
0.35,0.55,21.861,5,12,383
0.35,0.6,21.861,5,17,378
0.35,0.65,21.861,5,24,371
0.35,0.7,21.861,5,33,362
0.35,0.75,21.861,5,44,351
0.35,0.8,21.861,5,59,336
0.35,0.85,21.861,5,82,313
0.35,0.9,21.861,5,116,279
0.35,0.95,21.861,5,171,224
0.4,0.45,21.861,7,3,390
0.4,0.5,21.861,7,6,387
0.4,0.55,21.861,7,10,383
0.4,0.6,21.861,7,15,378
0.4,0.65,21.861,7,22,371
0.4,0.7,21.861,7,31,362
0.4,0.75,21.861,7,42,351
0.4,0.8,21.861,7,57,336
0.4,0.85,21.861,7,80,313
0.4,0.9,21.861,7,114,279
0.4,0.95,21.861,7,169,224
0.45,0.5,21.861,10,3,387
0.45,0.55,21.861,10,7,383
0.45,0.6,21.861,10,12,378
0.45,0.65,21.861,10,19,371
0.45,0.7,21.861,10,28,362
0.45,0.75,21.861,10,39,351
0.45,0.8,21.861,10,54,336
0.45,0.85,21.861,10,77,313
0.45,0.9,21.861,10,111,279
0.45,0.95,21.861,10,166,224
0.5,0.55,21.861,13,4,383
0.5,0.6,21.861,13,9,378
0.5,0.65,21.861,13,16,371
0.5,0.7,21.861,13,25,362
0.5,0.75,21.861,13,36,351
0.5,0.8,21.861,13,51,336
0.5,0.85,21.861,13,74,313
0.5,0.9,21.861,13,108,279
0.5,0.95,21.861,13,163,224
0.55,0.6,21.861,17,5,378
0.55,0.65,21.861,17,12,371
0.55,0.7,21.861,17,21,362
0.55,0.75,21.861,17,32,351
0.55,0.8,21.861,17,47,336
0.55,0.85,21.861,17,70,313
0.55,0.9,21.861,17,104,279
0.55,0.95,21.861,17,159,224
0.6,0.65,21.861,22,7,371
0.6,0.7,21.861,22,16,362
0.6,0.75,21.861,22,27,351
0.6,0.8,21.861,22,42,336
0.6,0.85,21.861,22,65,313
0.6,0.9,21.861,22,99,279
0.6,0.95,21.861,22,154,224
0.65,0.7,21.861,29,9,362
0.65,0.75,21.861,29,20,351
0.65,0.8,21.861,29,35,336
0.65,0.85,21.861,29,58,313
0.65,0.9,21.861,29,92,279
0.65,0.95,21.861,29,147,224
0.7,0.75,21.861,38,11,351
0.7,0.8,21.861,38,26,336
0.7,0.85,21.861,38,49,313
0.7,0.9,21.861,38,83,279
0.7,0.95,21.861,38,138,224
0.75,0.8,21.861,49,15,336
0.75,0.85,21.861,49,38,313
0.75,0.9,21.861,49,72,279
0.75,0.95,21.861,49,127,224
0.8,0.85,21.861,64,23,313
0.8,0.9,21.861,64,57,279
0.8,0.95,21.861,64,112,224
0.85,0.9,21.861,87,34,279
0.85,0.95,21.861,87,89,224
0.9,0.95,21.861,121,55,224
