sku,lengde_cm,bredde_cm,hoyde_cm,vekt_kg,klasse,volum_cm3,volum_l
SKU061,50.3,30.3,26.7,6.0,stor,40693.202999999994,40.69
SKU033,49.4,29.0,19.0,4.29,medium,27219.399999999998,27.22
SKU080,57.2,29.7,25.5,5.72,stor,43320.420000000006,43.32
SKU078,59.0,31.1,23.2,5.25,stor,42569.68,42.57
SKU011,29.1,19.9,14.4,3.21,smaa,8338.896,8.34
SKU006,30.7,22.8,13.4,3.38,smaa,9379.464,9.38
SKU031,24.1,17.5,8.5,1.67,smaa,3584.875,3.58
SKU025,34.0,17.2,14.8,3.14,smaa,8655.039999999999,8.66
SKU068,59.0,30.3,22.6,6.35,stor,40402.020000000004,40.4
SKU021,26.7,15.9,13.7,2.07,smaa,5816.061,5.82
SKU047,38.4,25.3,15.9,4.38,medium,15447.168,15.45
SKU052,45.5,28.3,21.3,5.56,medium,27426.945000000003,27.43
SKU055,35.8,23.5,14.9,1.33,medium,12535.369999999999,12.54
SKU056,44.9,24.5,20.3,3.9,medium,22331.015,22.33
SKU032,28.6,19.7,11.2,1.78,smaa,6310.303999999999,6.31
SKU022,22.9,18.2,11.2,1.97,smaa,4667.936,4.67
SKU007,37.7,20.4,11.6,1.66,smaa,8921.328,8.92
SKU076,48.5,34.4,26.4,4.94,stor,44045.759999999995,44.05
SKU039,43.8,23.7,22.6,6.82,medium,23460.156,23.46
SKU057,54.0,30.7,27.0,6.54,stor,44760.6,44.76
SKU014,16.8,11.4,9.2,0.65,smaa,1761.984,1.76
SKU058,58.0,32.1,17.5,2.76,stor,32581.500000000004,32.58
SKU051,43.7,26.8,18.5,6.14,medium,21666.460000000003,21.67
SKU044,41.8,24.7,15.1,3.7,medium,15590.145999999997,15.59
SKU063,50.5,31.9,20.4,3.42,stor,32863.38,32.86
SKU059,55.2,35.3,22.5,6.03,stor,43842.6,43.84
SKU004,34.6,19.0,9.9,1.19,smaa,6508.26,6.51
SKU075,51.6,32.8,21.7,2.92,stor,36726.81599999999,36.73
SKU050,37.5,28.4,19.8,6.14,medium,21087.0,21.09
SKU008,30.0,15.7,9.8,1.88,smaa,4615.8,4.62
SKU069,52.4,29.8,22.9,4.46,stor,35758.808,35.76
SKU072,59.0,31.0,21.9,6.8,stor,40055.1,40.06
SKU036,40.1,23.7,20.6,4.54,medium,19577.622000000003,19.58
SKU003,36.7,18.3,12.2,2.78,smaa,8193.642000000002,8.19
SKU077,59.0,30.9,23.0,7.01,stor,41931.299999999996,41.93
SKU074,59.0,33.3,21.1,2.99,stor,41455.17,41.46
SKU028,24.9,15.8,13.9,0.99,smaa,5468.5380000000005,5.47
SKU012,33.9,20.1,10.7,2.28,smaa,7290.873,7.29
SKU046,35.9,22.5,16.7,2.63,medium,13489.425,13.49
SKU070,59.0,31.3,20.8,3.73,stor,38411.36,38.41
SKU037,45.0,29.6,15.2,4.18,medium,20246.399999999998,20.25
SKU035,39.8,26.1,17.2,2.16,medium,17867.016,17.87
SKU048,45.7,29.5,17.2,3.46,medium,23188.18,23.19
SKU015,40.8,17.7,12.6,2.53,smaa,9099.215999999999,9.1
SKU045,36.7,22.3,16.4,3.74,medium,13421.924,13.42
SKU071,48.4,33.1,23.9,4.75,stor,38288.755999999994,38.29
SKU020,27.3,16.4,9.9,1.61,smaa,4432.428,4.43
SKU049,45.5,21.4,15.3,2.28,medium,14897.609999999999,14.9
SKU030,31.1,19.4,14.3,1.45,smaa,8627.762,8.63
SKU018,28.9,18.5,8.5,0.97,smaa,4544.525,4.54
SKU038,53.8,25.7,19.1,7.88,medium,26408.806,26.41
SKU053,39.9,24.9,19.5,4.06,medium,19373.444999999996,19.37
SKU067,52.2,39.0,19.5,6.23,stor,39698.100000000006,39.7
SKU062,50.8,28.8,22.1,4.52,stor,32333.184,32.33
SKU010,21.6,13.9,11.3,0.97,smaa,3392.7120000000004,3.39
SKU017,24.7,15.2,12.8,1.0,smaa,4805.6320000000005,4.81
SKU054,44.9,31.0,17.5,4.16,medium,24358.249999999996,24.36
SKU019,26.2,17.1,15.7,3.5,smaa,7033.914000000001,7.03
SKU079,59.0,27.4,21.1,4.84,stor,34110.26,34.11
SKU005,25.6,12.9,12.1,1.83,smaa,3995.904,4.0
SKU043,49.1,24.4,16.6,2.67,medium,19887.464,19.89
SKU041,39.6,26.1,18.8,3.68,medium,19430.928000000004,19.43
SKU040,41.8,22.5,19.5,3.6,medium,18339.749999999996,18.34
SKU034,53.1,25.3,18.3,7.26,medium,24584.769000000004,24.58
SKU026,37.8,18.1,12.4,2.47,smaa,8483.832,8.48
SKU009,38.7,20.1,12.5,1.85,smaa,9723.375000000002,9.72
SKU029,39.0,17.5,14.3,2.9,smaa,9759.75,9.76
SKU023,20.7,13.0,7.3,0.56,smaa,1964.4299999999996,1.96
SKU064,58.6,27.1,21.3,3.4,stor,33825.67800000001,33.83
SKU002,26.2,18.2,9.6,1.5,smaa,4577.664,4.58
SKU060,46.0,29.6,25.0,3.66,stor,34040.0,34.04
SKU065,56.9,31.2,24.6,4.94,stor,43671.888,43.67
SKU042,40.2,21.6,15.5,2.31,medium,13458.960000000003,13.46
SKU027,37.0,19.3,10.1,2.09,smaa,7212.41,7.21
SKU066,57.1,28.0,26.4,4.33,stor,42208.32,42.21
SKU073,51.5,30.7,23.9,4.93,stor,37787.094999999994,37.79
SKU013,32.7,15.0,11.2,0.95,smaa,5493.6,5.49
SKU016,29.6,15.8,13.7,1.81,smaa,6407.216,6.41
SKU001,30.6,21.9,14.2,3.02,smaa,9515.988,9.52
SKU024,25.7,14.0,10.1,0.74,smaa,3633.98,3.63
