scenario,customer,demand
0,C01,72
0,C02,91
0,C03,183
0,C04,134
0,C05,209
0,C06,113
0,C07,132
0,C08,95
0,C09,158
0,C10,140
0,C11,136
0,C12,72
0,C13,120
0,C14,138
0,C15,118
0,C16,144
0,C17,161
0,C18,84
0,C19,118
0,C20,109
0,C21,85
0,C22,59
0,C23,92
0,C24,176
0,C25,175
0,C26,149
0,C27,136
0,C28,97
0,C29,119
0,C30,133
0,C31,161
0,C32,94
0,C33,151
0,C34,148
0,C35,139
0,C36,113
0,C37,90
0,C38,77
0,C39,185
0,C40,153
0,C41,160
0,C42,156
0,C43,113
0,C44,131
0,C45,128
0,C46,84
0,C47,192
0,C48,156
0,C49,174
0,C50,100
1,C01,139
1,C02,44
1,C03,178
1,C04,135
1,C05,235
1,C06,90
1,C07,217
1,C08,198
1,C09,91
1,C10,114
1,C11,76
1,C12,88
1,C13,86
1,C14,174
1,C15,143
1,C16,202
1,C17,146
1,C18,117
1,C19,65
1,C20,56
1,C21,71
1,C22,126
1,C23,155
1,C24,150
1,C25,158
1,C26,152
1,C27,167
1,C28,107
1,C29,91
1,C30,82
1,C31,173
1,C32,109
1,C33,156
1,C34,175
1,C35,170
1,C36,173
1,C37,47
1,C38,78
1,C39,110
1,C40,218
1,C41,131
1,C42,145
1,C43,51
1,C44,190
1,C45,161
1,C46,2
1,C47,236
1,C48,200
1,C49,173
1,C50,124
2,C01,120
2,C02,70
2,C03,107
2,C04,212
2,C05,115
2,C06,88
2,C07,171
2,C08,152
2,C09,53
2,C10,169
2,C11,135
2,C12,128
2,C13,101
2,C14,73
2,C15,136
2,C16,173
2,C17,170
2,C18,79
2,C19,109
2,C20,70
2,C21,112
2,C22,136
2,C23,97
2,C24,132
2,C25,131
2,C26,151
2,C27,198
2,C28,114
2,C29,122
2,C30,113
2,C31,145
2,C32,119
2,C33,224
2,C34,133
2,C35,187
2,C36,161
2,C37,66
2,C38,98
2,C39,139
2,C40,139
2,C41,175
2,C42,175
2,C43,76
2,C44,113
2,C45,132
2,C46,75
2,C47,182
2,C48,162
2,C49,178
2,C50,153
3,C01,109
3,C02,104
3,C03,118
3,C04,163
3,C05,162
3,C06,135
3,C07,177
3,C08,105
3,C09,64
3,C10,103
3,C11,98
3,C12,141
3,C13,65
3,C14,218
3,C15,103
3,C16,143
3,C17,146
3,C18,84
3,C19,95
3,C20,66
3,C21,72
3,C22,118
3,C23,129
3,C24,197
3,C25,152
3,C26,170
3,C27,171
3,C28,122
3,C29,96
3,C30,101
3,C31,135
3,C32,124
3,C33,278
3,C34,148
3,C35,182
3,C36,162
3,C37,116
3,C38,126
3,C39,182
3,C40,129
3,C41,164
3,C42,156
3,C43,104
3,C44,120
3,C45,152
3,C46,44
3,C47,118
3,C48,197
3,C49,156
3,C50,130
4,C01,162
4,C02,81
4,C03,141
4,C04,139
4,C05,239
4,C06,108
4,C07,171
4,C08,85
4,C09,81
4,C10,158
4,C11,69
4,C12,84
4,C13,47
4,C14,167
4,C15,158
4,C16,163
4,C17,156
4,C18,146
4,C19,84
4,C20,74
4,C21,143
4,C22,157
4,C23,92
4,C24,179
4,C25,98
4,C26,140
4,C27,228
4,C28,78
4,C29,88
4,C30,84
4,C31,143
4,C32,88
4,C33,250
4,C34,147
4,C35,183
4,C36,110
4,C37,52
4,C38,139
4,C39,186
4,C40,185
4,C41,155
4,C42,156
4,C43,50
4,C44,134
4,C45,199
4,C46,45
4,C47,204
4,C48,194
4,C49,148
4,C50,118
5,C01,119
5,C02,94
5,C03,132
5,C04,224
5,C05,185
5,C06,87
5,C07,130
5,C08,154
5,C09,54
5,C10,162
5,C11,138
5,C12,125
5,C13,131
5,C14,121
5,C15,110
5,C16,152
5,C17,183
5,C18,111
