t,dato,salg
1,2021-01-01,26
2,2021-02-01,169
3,2021-03-01,143
4,2021-04-01,468
5,2021-05-01,571
6,2021-06-01,670
7,2021-07-01,811
8,2021-08-01,959
9,2021-09-01,996
10,2021-10-01,1036
11,2021-11-01,1018
12,2021-12-01,955
13,2022-01-01,911
14,2022-02-01,949
15,2022-03-01,1045
16,2022-04-01,1103
17,2022-05-01,1221
18,2022-06-01,1359
19,2022-07-01,1357
20,2022-08-01,1273
21,2022-09-01,1276
22,2022-10-01,1269
23,2022-11-01,1141
24,2022-12-01,1095
25,2023-01-01,1134
26,2023-02-01,1244
27,2023-03-01,1172
28,2023-04-01,1401
29,2023-05-01,1351
30,2023-06-01,1516
31,2023-07-01,1475
32,2023-08-01,1617
33,2023-09-01,1535
34,2023-10-01,1478
35,2023-11-01,1282
36,2023-12-01,1325
37,2024-01-01,1244
38,2024-02-01,1287
39,2024-03-01,1425
40,2024-04-01,1553
41,2024-05-01,1617
42,2024-06-01,1648
43,2024-07-01,1675
44,2024-08-01,1803
45,2024-09-01,1701
46,2024-10-01,1633
47,2024-11-01,1646
48,2024-12-01,1415
