unit_id,condition,age_months,brand,cosmetic_grade,functional_grade,new_price_nok,ev_repair,ev_refurbish,ev_recycle,ev_dispose,optimal_action,optimal_value
1,4,29,ElektroNor,3,4,4800.0,1318.3353599999998,1447.04768,256.32,-180.0,refurbish,1447.04768
2,3,22,NordicTech,3,3,6200.0,854.8828800000003,1519.9149500000003,366.08,-180.0,refurbish,1519.9149500000003
3,5,23,ElektroNor,5,5,4800.0,2372.352,1790.915,256.32,-180.0,repair,2372.352
4,4,18,ElektroNor,5,4,4800.0,1841.3855999999998,1683.3884,256.32,-180.0,repair,1841.3855999999998
5,2,27,NordicTech,2,2,6200.0,-456.1112,431.73860000000025,366.08,-180.0,refurbish,431.73860000000025
6,2,25,ViksTek,2,1,3600.0,-772.3199999999999,-77.85062499999995,162.24,-180.0,recycle,162.24
7,2,43,NordicTech,1,1,6200.0,-739.6452,126.86208125000022,366.08,-180.0,recycle,366.08
8,2,24,NordicTech,1,2,6200.0,-500.15409999999997,395.26880000000017,366.08,-180.0,refurbish,395.26880000000017
9,1,37,FjordLine,1,1,2400.0,-913.0195199999999,-476.539825,68.16,-180.0,recycle,68.16
10,2,26,NordicTech,3,2,6200.0,-393.88530000000003,490.9874000000002,366.08,-180.0,refurbish,490.9874000000002
11,1,33,ViksTek,1,1,3600.0,-904.3651199999999,-428.3285125,162.24,-180.0,recycle,162.24
12,3,17,ElektroNor,1,3,4800.0,224.1657600000002,950.3924000000002,256.32,-180.0,refurbish,950.3924000000002
13,2,23,NordicTech,1,2,6200.0,-495.8981999999999,400.8101000000001,366.08,-180.0,refurbish,400.8101000000001
14,4,7,ViksTek,4,3,3600.0,972.016512,1114.242008,162.24,-180.0,refurbish,1114.242008
15,3,18,NordicTech,3,3,6200.0,924.1987200000003,1567.1040500000004,366.08,-180.0,refurbish,1567.1040500000004
16,4,23,ViksTek,3,4,3600.0,889.54944,1028.7547700000002,162.24,-180.0,refurbish,1028.7547700000002
17,5,10,ViksTek,4,5,3600.0,1821.5267999999999,1333.661,162.24,-180.0,repair,1821.5267999999999
18,4,21,FjordLine,3,4,2400.0,344.7571199999999,551.9852599999999,68.16,-180.0,refurbish,551.9852599999999
19,5,4,ElektroNor,5,5,4800.0,2987.4959999999996,2045.4199999999996,256.32,-180.0,repair,2987.4959999999996
20,4,27,NordicTech,5,4,6200.0,2317.3280000000004,2158.9187000000006,366.08,-180.0,repair,2317.3280000000004
21,2,38,NordicTech,1,3,6200.0,-391.4352,452.3441900000004,366.08,-180.0,refurbish,452.3441900000004
22,5,18,NordicTech,5,4,6200.0,3280.343,2461.4839,366.08,-180.0,repair,3280.343
23,5,9,NordicTech,5,5,6200.0,3874.7199999999993,2677.0274999999997,366.08,-180.0,repair,3874.7199999999993
24,4,11,NordicTech,2,4,6200.0,2116.9555199999995,2128.00901,366.08,-180.0,refurbish,2128.00901
25,5,7,NordicTech,5,5,6200.0,3957.5599999999995,2711.1325,366.08,-180.0,repair,3957.5599999999995
26,1,26,NordicTech,1,1,6200.0,-884.03628,-318.8662374999999,366.08,-180.0,recycle,366.08
27,3,23,ElektroNor,4,3,4800.0,555.5639040000002,1109.79068,256.32,-180.0,refurbish,1109.79068
28,1,28,NordicTech,2,1,6200.0,-878.83056,-307.57134999999994,366.08,-180.0,recycle,366.08
29,2,36,ElektroNor,2,2,4800.0,-592.8324,174.53120000000018,256.32,-180.0,recycle,256.32
30,2,26,ViksTek,3,2,3600.0,-610.4874,65.50520000000009,162.24,-180.0,recycle,162.24
31,2,25,NordicTech,1,3,6200.0,-310.96,535.1866250000002,366.08,-180.0,refurbish,535.1866250000002
32,2,28,FjordLine,1,2,2400.0,-758.4264,-176.90079999999995,68.16,-180.0,recycle,68.16
33,2,25,ViksTek,3,1,3600.0,-753.96,-52.51281249999997,162.24,-180.0,recycle,162.24
34,3,14,ElektroNor,3,2,4800.0,104.72424000000007,919.9040000000002,256.32,-180.0,refurbish,919.9040000000002
35,3,20,NordicTech,3,3,6200.0,889.5408000000002,1543.5095000000006,366.08,-180.0,refurbish,1543.5095000000006
36,3,16,FjordLine,5,3,2400.0,-78.23039999999995,372.20000000000005,68.16,-180.0,refurbish,372.20000000000005
37,4,15,NordicTech,5,4,6200.0,2714.9600000000005,2348.9015000000004,366.08,-180.0,repair,2714.9600000000005
