sku,interval,q_min,q_max,pris,h,Q_eoq,Q_use,TC,status,optimal
A1,1,0,99.0,850.0,187.0,101.32807942097978,,inf,infeasible,False
A1,2,100,499.0,810.0,178.2,103.7998592215364,103.7998592215364,1962497.1349132778,eoq_interior,False
A1,3,500,,770.0,169.4,106.46182613983999,500.0,1892270.0,corner_low,True
B2,1,0,199.0,42.0,7.56,890.870806374748,,inf,infeasible,False
B2,2,200,999.0,39.0,7.02,924.5003270420485,924.5003270420485,474489.99229583517,eoq_interior,False
B2,3,1000,,36.5,6.569999999999999,955.6369651349931,1000.0,444285.0,corner_low,True
C3,1,0,49.0,320.0,80.0,125.49900398011133,,inf,infeasible,False
C3,2,50,199.0,300.0,75.0,129.6148139681572,129.6148139681572,549721.1110476118,eoq_interior,False
C3,3,200,,285.0,71.25,132.98199324087375,200.0,523275.0,corner_low,True
D4,1,0,299.0,55.0,11.0,700.6490497453707,,inf,infeasible,False
D4,2,300,999.0,51.0,10.200000000000001,727.6068751089989,727.6068751089989,466421.59012611175,eoq_interior,False
D4,3,1000,,48.0,9.600000000000001,749.9999999999999,1000.0,439500.0,corner_low,True
