sku,j,q_min,q_max,c_j,F_j,Q_unc,Q_use,c_avg,h,TC,status,optimal
A1,1,0,99.0,850.0,0.0,101.32807942097978,99.0,850.0,187.0,2058953.4696969697,corner_high,False
A1,2,100,499.0,810.0,3960.0,342.6967718568085,342.6967718568085,821.555405026268,180.74218910577895,2005504.1647448828,interior,False
A1,3,500,,770.0,23880.0,829.4462669753186,829.4462669753186,798.790291729302,175.73386418044643,1991134.997625619,interior,True
B2,1,0,199.0,42.0,0.0,890.870806374748,199.0,42.0,7.56,519827.59688442206,corner_high,False
B2,2,200,999.0,39.0,597.0,1701.683429938276,999.0,39.5950950950951,7.127117117117117,481704.13914414414,corner_high,False
B2,3,1000,,36.5,3092.0,3494.0262131360996,3494.0262131360996,37.38493898196166,6.729289016753099,461234.0322203042,interior,True
C3,1,0,49.0,320.0,0.0,125.49900398011133,49.0,320.0,80.0,590817.1428571428,corner_high,False
C3,2,50,199.0,300.0,980.0,252.6657871576601,199.0,304.8492462311558,76.21231155778895,559477.597361809,corner_high,False
C3,3,200,,285.0,3950.0,466.11496210134345,466.11496210134345,293.4743042407233,73.36857606018083,546704.4410497206,interior,True
D4,1,0,299.0,55.0,0.0,700.6490497453707,299.0,55.0,11.0,505674.60033444816,corner_high,False
D4,2,300,999.0,51.0,1196.0,1624.807680927192,999.0,52.194194194194196,10.43883883883884,477664.6504504505,corner_high,False
D4,3,1000,,48.0,4190.0,2901.508228490831,2901.508228490831,49.44407655262082,9.888815310524166,460273.47899351193,interior,True
