MATNR,MAKTX,MTART,MATKL,WGBEZ,MEINS,ZZABC,ZZXYZ,MARC_ABC,UNIT_PRICE,TOTAL_STOCK,D_ANNUAL,ACTIVE_MONTHS,CV,MSEG_STATUS,TOTAL_NETWR,ORDER_COUNT,AVG_ORDER_QTY,NET_RECEIVED,LEAD_TIME_DAYS,SUPPLIER_COUNT,IS_ACTIVE,ABC_VALUE,ABC_VALUE_SOURCE,ABC_CUM_PCT,ABC_CLASS,XYZ_CLASS,EOQ,EOQ_FREQ,FREQ_AVVIK_PCT,EOQ_STATUS,TC_AVVIK_KR,LN_CV,LN_V,LN_DTCABS
4035957,Kateter føring PCI JR 6F 4.0 100cm,ZHAW,10030703,Radiol. Vaskul. Prod,STK,,X,,316.11,91,858.0,24.0,0.3254,AKTIV,300446.4,23.0,39.36,984.0,,,True,300446.4,EKPO,0.6835522732470511,A,X,142.67739067428738,6.013566662139866,91.2,FOR_MANGE_ORDRER,1963.0,-1.1227000841971995,12.613027976038493,7.582738488914411
4008197,"Tape perforert transparent 7,5cmx9,1m",ZHAW,10050801,Sårbehandlingsproduk,RUL,C,,C,14.5,36,1784.0,24.0,0.324,AKTIV,21460.0,37.0,10.0,370.0,,,True,21460.0,EKPO,0.9864133926487653,C,X,960.6032587336226,1.8571663002183372,896.1,FOR_MANGE_ORDRER,11229.0,-1.1270117631898076,9.973992613421482,9.326344047732489
4000340,Kat urin tappe prefukt kvinne Ch10,ZHAW,10050404,Urol. Kateter/tilbh,STK,C,Y,C,0.8129,345,2880.0,24.0,0.4767,AKTIV,840.0,10.0,10.0,100.0,,,True,840.0,EKPO,0.9999423420520227,C,X,5154.758385610704,0.558707078888392,794.9,FOR_MANGE_ORDRER,2959.0,-0.740867916771357,6.734591659972948,7.992944547318106
4005881,Sutur hud sort 5/0 PS-2 MP 45cm,ZHAW,10030908,Suturer,STK,C,,C,16.61,324,1512.0,15.0,1.1693,AKTIV,23918.0,10.0,4.0,40.0,,,True,23918.0,EKPO,0.9834652342157327,C,Z,826.2694792001433,1.8299114732685842,173.2,FOR_MANGE_ORDRER,1507.0,0.15640527916413574,10.082428401170604,7.318539548567902
4008096,Steriliseringspapir 44/77Inter 75x75cm,ZHAW,10030899,Sterilisering forbru,STK,A,,B,4.79,5166,57610.0,24.0,0.1289,AKTIV,264202.8,29.0,14.97,433.873,,,True,264202.8,EKPO,0.7134253081361315,A,X,9497.554899053903,6.065771728862426,139.0,FOR_MANGE_ORDRER,3679.0,-2.0487183690369957,12.484476054010075,8.210668031162976
4006062,Sutur resorb mult lilla 4/0 RB-1 70cm,ZHAW,10030908,Suturer,STK,C,,C,19.11,144,756.0,12.0,1.5231,AKTIV,17887.0,12.0,2.0,26.0,,,True,17887.0,EKPO,0.990255999776043,C,Z,544.7047794019222,1.3879077779160975,332.3,FOR_MANGE_ORDRER,2659.0,0.4207477316393212,9.791885375954825,7.886081401775745
4045042,DBS Percept PC,ZHAW,10050102,Anestesi kanyler,STK,,X,,119438.31,2,3.0,3.0,2.6458,NY_ARTIKKEL,610506.48,4.0,1.25,6.0,,,True,610506.48,EKPO,0.45631194300303823,A,Z,0.4340296855750544,6.911969617988782,-71.1,FOR_FÅ_ORDRER,9048.0,0.9729734770461427,13.32204582471009,9.110409533351133
4000758,Bandasje silikonnett 5x7cm,ZHAW,10050801,Sårbehandlingsproduk,STK,C,,C,11.5,140,5030.0,24.0,0.2571,AKTIV,48300.0,30.0,14.0,420.0,,,True,48300.0,EKPO,0.9560464388261355,C,X,1811.1970579174138,2.777168822140035,440.1,FOR_MANGE_ORDRER,7470.0,-1.3582901647102932,10.785207543360087,8.918784137975802
4038582,Fogartybekledning soft/traction 86mm,ZHAW,10030904,Gener. Kir. Instrum,STK,,X,,161.96,100,390.0,14.0,1.033,AKTIV,74542.92,10.0,4.8,52.0,,,True,74542.92,EKPO,0.92320091446314,B,Z,134.38755455202576,2.9020544446994787,72.3,FOR_MANGE_ORDRER,660.0,0.03246719013750141,11.21914376086433,6.493753839851686
4036677,Magasin suturm EndoGia m/tip vaskulæ30mm,ZHAW,10030906,"Hudklips, lim, tape",STK,,X,,2090.0,114,714.0,13.0,1.0159,AKTIV,1805760.0,21.0,6.86,144.0,,,True,1805760.0,EKPO,0.10683972933990413,A,Z,50.61818800527928,14.105601724137825,-25.6,OK,929.0,0.01577491911536224,14.406492667546207,6.835184586147301
